Edad,hosteleria_restaurante,hosteleria_asador,hosteleria_sidreria,hosteleria_bodega,hosteleria_queseria,Gourmet_Agricultura_ecologica,Gourmet_Denominacion_de_Origen,Gourmet_Eusko_Label,Gourmet_Euskal_Baserri,Target_Review,hombre,mujer,otro,user_bizkaia,user_gipuzkoa,user_alava,local_restaurante,local_asador,local_sidreria,local_bodega,local_queseria,local_bizkaia,local_gipuzkoa,local_alava,sol,estrella,q,local_valoracion
43,0,1,0,1,1,0,1,1,1,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4.3
53,0,0,1,1,1,1,1,1,1,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,4.7
62,1,1,0,1,1,1,0,1,1,5,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,4.5
49,1,1,1,0,0,1,1,1,1,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,4.1
64,0,1,1,1,1,1,0,1,1,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.9
57,1,1,0,1,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4.4
51,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4.4
62,0,1,1,1,1,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,4.3
47,1,0,0,1,1,1,0,0,1,4,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,4.1
60,0,0,0,1,1,1,0,1,1,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4.8
59,1,1,0,1,0,1,1,0,0,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,4.2
25,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,4.6
50,1,1,1,1,0,1,0,1,1,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,4.8
47,0,0,0,1,1,1,1,1,0,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,4.1
45,1,1,0,1,0,0,0,1,1,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.2
59,1,0,1,1,1,0,1,1,1,4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,4.4
47,0,1,1,1,1,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,4.4
56,0,1,1,1,1,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4.5
62,1,1,0,1,1,0,1,1,1,4,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,4.3
58,0,0,0,1,1,0,0,1,1,3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,4.2
56,1,1,1,0,1,1,1,1,1,5,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,4.7
45,1,1,0,1,1,1,1,1,1,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,3.8
35,1,0,1,0,1,1,0,1,1,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,4.4
63,0,1,1,1,0,0,0,1,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4.7
53,1,1,0,1,1,0,1,1,1,4,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4.6
46,1,1,1,1,0,0,1,0,1,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,4.5
63,1,1,1,1,1,1,0,0,1,4,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4.5
58,0,1,0,1,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.4
29,0,1,0,0,0,1,1,1,1,3,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,4.3
60,1,1,1,1,1,1,1,1,1,4,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,4.8
53,1,1,1,1,1,1,1,1,1,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,4.1
60,1,1,1,1,0,0,0,1,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4.7
54,1,1,1,1,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4.5
51,1,1,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4.5
30,1,0,1,1,0,1,1,1,1,4,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,4.6
52,0,1,1,1,0,1,1,1,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,4.6
63,1,0,1,0,0,1,1,1,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,4.7
53,1,0,1,1,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.5
61,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4.7
49,1,1,0,1,1,1,1,0,1,4,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,4.5
60,0,1,0,1,1,1,0,1,1,4,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,4.1
51,1,1,1,1,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4.4
48,1,0,1,1,1,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4.2
44,1,1,0,1,1,1,0,1,1,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4.2
63,1,0,0,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,4.6
60,1,1,1,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4.9
47,1,0,1,1,0,1,1,1,1,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,4.3
57,0,1,1,1,0,1,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.3
47,1,1,1,1,1,0,1,1,1,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4.6
58,1,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,4.6
57,1,1,1,0,1,1,1,1,1,4,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4.1
47,0,1,1,0,0,1,1,0,1,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3.9
54,1,0,0,1,1,1,1,1,1,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4.5
52,0,0,0,1,0,1,1,1,1,4,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,4.0
60,0,1,1,0,0,1,1,1,1,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4.2
47,1,0,1,0,1,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.8
50,1,1,1,0,1,1,0,1,0,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,4.4
58,1,1,0,0,1,0,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4.3
58,1,1,1,1,1,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,4.0
55,1,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.2
52,1,1,1,1,1,0,1,1,0,4,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4.5
65,1,0,1,0,1,1,1,1,1,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4.2
51,1,1,1,1,1,1,1,1,1,5,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4.6
48,1,1,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,4.1
62,0,1,0,1,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,4.4
59,1,1,1,0,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4.4
58,1,1,1,1,1,0,1,0,1,5,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,4.6
62,0,0,0,0,1,0,1,1,1,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4.4
57,1,1,1,1,1,1,0,1,1,5,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4.2
61,1,1,0,1,1,1,1,0,1,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,4.4
60,1,1,1,1,0,0,0,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,4.4
53,0,0,0,0,1,1,0,0,1,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,4.4
63,0,0,1,1,0,1,0,1,1,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4.5
63,1,0,0,1,0,0,1,1,1,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3.7
68,1,1,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4.2
50,1,0,0,1,1,1,1,1,0,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,4.5
46,1,1,0,1,0,1,0,0,1,4,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,4.5
45,1,1,1,1,0,1,0,1,1,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4.7
56,1,1,1,1,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,5.0
59,0,1,1,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4.0
58,1,0,1,1,0,1,1,1,1,4,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4.1
60,0,1,1,0,0,0,0,1,1,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.7
49,0,1,1,0,0,0,1,1,0,4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4.6
58,0,0,0,1,1,0,1,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4.0
62,0,0,0,1,1,1,1,1,1,4,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,4.7
61,1,1,1,1,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.4
56,1,1,1,0,0,0,0,1,1,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,5.0
51,1,1,1,0,0,0,0,1,1,4,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,4.5
71,1,1,1,1,1,0,0,1,0,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4.7
59,1,0,1,0,1,1,1,1,0,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.5
75,1,1,1,1,1,0,1,1,1,4,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4.7
26,0,1,1,1,1,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4.5
56,1,1,1,1,1,1,0,1,1,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,4.6
51,1,1,1,0,1,1,0,0,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4.3
64,0,0,0,1,1,1,0,0,1,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.2
67,1,1,1,0,1,1,0,1,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,4.4
61,0,1,0,0,0,0,1,1,0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4.4
46,1,1,1,1,1,1,1,0,1,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,4.3
47,1,1,1,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4.2
61,1,1,1,0,1,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.1
46,1,1,1,1,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4.1
63,1,1,1,1,1,1,0,0,1,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0
48,1,1,1,1,0,0,1,0,1,4,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4.5
75,0,0,0,1,0,1,1,1,1,4,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,4.3
60,1,1,1,0,1,1,0,1,1,4,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4.0
54,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4.5
59,0,1,1,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4.3
60,1,0,1,1,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,4.5
36,0,0,1,0,0,0,1,1,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4.5
46,0,1,0,1,0,1,0,1,1,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,4.1
46,0,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,4.6
52,1,0,1,1,1,1,0,1,1,4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4.4
46,1,0,1,0,0,0,1,1,0,3,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,4.3
54,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4.6
63,0,0,1,0,1,1,1,1,0,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,4.7
45,1,0,0,0,1,1,1,1,1,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,4.6
59,1,1,1,1,1,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4.8
47,0,1,1,1,1,1,1,1,1,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4.4
41,0,1,1,0,1,0,1,0,1,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4.6
54,1,1,1,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,4.3
62,1,1,1,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4.1
47,1,1,1,1,1,1,1,0,1,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,4.0
55,0,1,1,1,1,1,0,0,1,3,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3.8
48,1,1,0,0,1,1,0,1,1,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4.4
66,0,0,0,1,0,1,1,1,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4.4
53,1,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4.5
65,1,0,0,1,1,0,0,1,1,4,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,4.2
51,0,0,0,1,1,1,0,1,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,4.4
50,1,1,1,0,1,0,1,1,1,4,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,5.0
59,0,1,1,1,0,1,1,0,1,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,4.5
56,1,1,1,1,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,5.0
63,1,0,1,0,1,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,4.6
46,0,0,0,1,0,0,1,0,0,3,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.2
55,1,0,1,1,1,1,1,1,1,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,4.7
62,1,1,1,1,1,1,1,1,1,5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.2
59,0,0,0,1,1,0,1,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,4.1
64,1,1,1,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,4.9
46,1,1,1,0,0,1,1,0,1,4,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,5.0
28,1,1,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4.2
57,0,0,1,1,1,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,3.8
56,1,1,0,1,0,0,1,1,1,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4.5
59,1,0,1,0,0,1,1,1,1,4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4.4
55,1,1,1,0,1,1,1,1,0,5,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,4.3
52,1,0,1,1,1,0,1,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,4.7
35,1,1,1,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,4.4
53,1,1,1,1,0,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4.8
58,1,1,0,0,0,1,0,1,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,4.6
55,1,0,1,0,1,0,1,1,1,4,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4.6
64,1,0,1,1,1,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.3
52,1,0,0,1,0,1,1,1,1,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,4.5
62,1,0,1,1,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4.1
31,1,0,1,1,1,1,1,1,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4.8
63,1,0,1,0,1,1,0,1,1,3,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,5.0
45,0,0,0,1,0,1,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,4.0
