user_id,gastro_id,puntuacion,texto,created_at
154,3,2,"No cumplió expectativas, he comido mejor.",2025-12-31 00:00:00
585,3,5,"Producto de primera calidad, servicio impecable.",2025-03-24 00:00:00
324,3,4,"Rico y bien elaborado, lo recomiendo.",2024-08-18 00:00:00
1868,3,5,,2025-07-21 00:00:00
1625,3,4,,2024-03-13 00:00:00
1277,3,4,,2024-03-10 00:00:00
1752,3,3,"Correcto, sin más. Esperaba algo más.",2025-06-10 00:00:00
1617,3,4,"Rico y bien elaborado, lo recomiendo.",2025-07-06 00:00:00
375,3,4,"Nos fue muy bien, cocina honesta y sabrosa.",2025-08-13 00:00:00
1793,3,4,"Producto fresco y bien tratado, muy satisfecho.",2024-07-13 00:00:00
1085,3,5,"Producto de primera calidad, servicio impecable.",2025-03-09 00:00:00
1624,3,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-11-20 00:00:00
1799,3,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-02-16 00:00:00
1929,4,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-09-11 00:00:00
507,4,5,"La mejor comida del País Vasco, sin exagerar.",2025-03-08 00:00:00
1000,4,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-03-29 00:00:00
607,4,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-02-21 00:00:00
574,4,4,Muy buena relación calidad-precio.,2024-04-05 00:00:00
78,4,4,"Rico y bien elaborado, lo recomiendo.",2025-02-20 00:00:00
1225,4,4,,2025-02-14 00:00:00
1009,4,4,,2024-01-03 00:00:00
105,4,5,,2026-03-13 00:00:00
562,4,4,,2025-12-14 00:00:00
1823,4,3,Ni mal ni especialmente bien.,2025-11-08 00:00:00
483,4,5,,2024-10-30 00:00:00
287,4,5,,2026-01-23 00:00:00
984,4,4,Muy buena relación calidad-precio.,2024-02-21 00:00:00
1300,5,5,"De los mejores que he probado, una joya.",2024-06-10 00:00:00
349,5,5,"La mejor comida del País Vasco, sin exagerar.",2024-03-11 00:00:00
1393,5,4,"Rico y bien elaborado, lo recomiendo.",2025-02-17 00:00:00
780,5,4,"Rico y bien elaborado, lo recomiendo.",2025-08-15 00:00:00
1880,5,4,"Producto fresco y bien tratado, muy satisfecho.",2025-11-04 00:00:00
274,5,5,"Producto de primera calidad, servicio impecable.",2024-07-28 00:00:00
689,5,5,,2024-09-28 00:00:00
225,5,4,"Buena experiencia, repetiría.",2025-04-13 00:00:00
1857,5,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-01-10 00:00:00
1762,5,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-03-16 00:00:00
520,5,5,"La mejor comida del País Vasco, sin exagerar.",2024-12-23 00:00:00
1329,5,4,"Buena experiencia, repetiría.",2024-10-18 00:00:00
1644,5,5,"Producto de primera calidad, servicio impecable.",2025-09-18 00:00:00
1394,6,3,Ni mal ni especialmente bien.,2024-01-09 00:00:00
1313,6,4,Muy buena relación calidad-precio.,2024-05-17 00:00:00
449,6,4,"Nos fue muy bien, cocina honesta y sabrosa.",2024-06-08 00:00:00
1435,6,4,"Buena experiencia, repetiría.",2024-07-27 00:00:00
477,6,5,"De los mejores que he probado, una joya.",2025-05-15 00:00:00
657,6,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-04-04 00:00:00
1504,6,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-01-04 00:00:00
1308,6,5,,2024-09-25 00:00:00
1709,6,5,"Un lujo para el paladar, altamente recomendable.",2025-07-28 00:00:00
1324,6,5,,2025-12-08 00:00:00
1456,7,3,"Aceptable, hay opciones mejores en la zona.",2025-08-19 00:00:00
567,7,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-11-11 00:00:00
48,7,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-01-01 00:00:00
1300,7,4,,2024-04-15 00:00:00
355,7,5,"Un lujo para el paladar, altamente recomendable.",2025-09-27 00:00:00
1887,7,5,"La mejor comida del País Vasco, sin exagerar.",2024-06-15 00:00:00
1912,7,3,"Normal, la calidad era buena pero el servicio flojo.",2024-01-26 00:00:00
1838,7,4,"Producto fresco y bien tratado, muy satisfecho.",2026-04-01 00:00:00
747,7,5,"La mejor comida del País Vasco, sin exagerar.",2024-09-30 00:00:00
32,7,5,"Un lujo para el paladar, altamente recomendable.",2024-02-09 00:00:00
1403,8,3,,2026-04-16 00:00:00
1148,8,3,,2026-04-20 00:00:00
193,8,5,,2024-01-25 00:00:00
1236,8,5,"Producto de primera calidad, servicio impecable.",2024-03-12 00:00:00
1982,8,3,,2025-10-18 00:00:00
279,8,5,"De los mejores que he probado, una joya.",2024-12-05 00:00:00
1041,8,4,,2024-09-24 00:00:00
1762,8,4,"Buena experiencia, repetiría.",2024-02-09 00:00:00
1492,8,5,"Producto de primera calidad, servicio impecable.",2025-03-22 00:00:00
1405,8,5,"Un lujo para el paladar, altamente recomendable.",2025-08-13 00:00:00
1414,8,4,,2025-03-22 00:00:00
724,8,5,"De los mejores que he probado, una joya.",2025-12-04 00:00:00
186,9,3,"Bien pero sin sorpresas, precio algo elevado.",2025-01-07 00:00:00
1164,9,4,"Buena experiencia, repetiría.",2025-09-30 00:00:00
75,9,4,"Buena experiencia, repetiría.",2025-06-03 00:00:00
938,9,5,"Un lujo para el paladar, altamente recomendable.",2025-12-14 00:00:00
1092,9,4,,2025-03-06 00:00:00
578,9,5,"La mejor comida del País Vasco, sin exagerar.",2025-09-22 00:00:00
1187,9,4,Muy buena relación calidad-precio.,2024-11-07 00:00:00
61,9,5,"De los mejores que he probado, una joya.",2025-09-13 00:00:00
79,9,5,"Un lujo para el paladar, altamente recomendable.",2025-11-22 00:00:00
1654,9,5,"La mejor comida del País Vasco, sin exagerar.",2025-11-05 00:00:00
1955,10,4,"Nos fue muy bien, cocina honesta y sabrosa.",2024-12-09 00:00:00
1037,10,5,"La mejor comida del País Vasco, sin exagerar.",2025-11-19 00:00:00
653,10,5,"La mejor comida del País Vasco, sin exagerar.",2024-01-26 00:00:00
1599,10,5,"De los mejores que he probado, una joya.",2026-05-20 00:00:00
544,10,4,"Nos fue muy bien, cocina honesta y sabrosa.",2024-07-18 00:00:00
885,10,4,"Producto fresco y bien tratado, muy satisfecho.",2024-09-06 00:00:00
157,10,5,"Experiencia gastronómica excepcional, volveré sin duda.",2026-03-08 00:00:00
51,10,4,,2025-12-13 00:00:00
1929,10,5,,2024-09-12 00:00:00
1682,10,3,,2024-05-16 00:00:00
1403,10,4,"Nos fue muy bien, cocina honesta y sabrosa.",2025-09-01 00:00:00
826,10,5,"Un lujo para el paladar, altamente recomendable.",2025-09-19 00:00:00
347,10,3,"Normal, la calidad era buena pero el servicio flojo.",2026-04-30 00:00:00
313,10,2,"No cumplió expectativas, he comido mejor.",2026-01-31 00:00:00
504,10,3,"Bien pero sin sorpresas, precio algo elevado.",2026-05-10 00:00:00
1105,10,4,"Nos fue muy bien, cocina honesta y sabrosa.",2025-05-11 00:00:00
1442,10,5,,2024-03-20 00:00:00
1279,11,5,,2024-12-09 00:00:00
94,11,4,"Rico y bien elaborado, lo recomiendo.",2024-06-03 00:00:00
756,11,5,"La mejor comida del País Vasco, sin exagerar.",2024-03-06 00:00:00
1260,11,5,,2025-04-22 00:00:00
1010,11,5,,2025-03-06 00:00:00
1721,11,4,Muy buena relación calidad-precio.,2026-05-27 00:00:00
1326,11,5,"Un lujo para el paladar, altamente recomendable.",2024-01-07 00:00:00
327,11,1,,2025-02-03 00:00:00
143,11,3,"Normal, la calidad era buena pero el servicio flojo.",2025-07-05 00:00:00
1295,11,5,"De los mejores que he probado, una joya.",2024-08-13 00:00:00
144,12,4,,2025-05-12 00:00:00
646,12,4,,2025-11-26 00:00:00
1700,12,4,"Producto fresco y bien tratado, muy satisfecho.",2024-05-10 00:00:00
46,12,3,"Normal, la calidad era buena pero el servicio flojo.",2025-08-29 00:00:00
1638,12,5,,2025-10-20 00:00:00
569,12,5,"La mejor comida del País Vasco, sin exagerar.",2024-02-21 00:00:00
235,12,5,,2025-04-10 00:00:00
1404,12,5,"Un lujo para el paladar, altamente recomendable.",2024-10-11 00:00:00
1267,12,5,"Producto de primera calidad, servicio impecable.",2026-05-04 00:00:00
1763,12,4,,2025-07-06 00:00:00
1480,12,5,"La mejor comida del País Vasco, sin exagerar.",2025-10-27 00:00:00
1616,12,4,Muy buena relación calidad-precio.,2026-02-11 00:00:00
355,12,5,,2026-05-09 00:00:00
1511,12,4,,2024-05-09 00:00:00
22,13,5,,2024-08-11 00:00:00
1818,13,4,,2025-01-12 00:00:00
181,13,5,"Experiencia gastronómica excepcional, volveré sin duda.",2026-03-07 00:00:00
647,13,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-08-15 00:00:00
1905,13,4,,2025-11-24 00:00:00
1906,13,3,"Bien pero sin sorpresas, precio algo elevado.",2024-03-18 00:00:00
1155,13,5,"La mejor comida del País Vasco, sin exagerar.",2024-04-14 00:00:00
1273,13,4,,2025-12-01 00:00:00
903,13,4,,2025-08-02 00:00:00
591,13,5,,2025-03-14 00:00:00
664,13,5,,2025-10-25 00:00:00
1354,13,5,"Un lujo para el paladar, altamente recomendable.",2024-04-18 00:00:00
1514,13,4,"Producto fresco y bien tratado, muy satisfecho.",2025-12-25 00:00:00
1592,13,5,,2025-06-18 00:00:00
1588,13,2,,2026-04-07 00:00:00
180,13,2,Servicio lento y actitud mejorable.,2025-03-22 00:00:00
995,13,4,"Buena experiencia, repetiría.",2026-05-22 00:00:00
1563,14,5,"Producto de primera calidad, servicio impecable.",2025-04-06 00:00:00
1124,14,5,"De los mejores que he probado, una joya.",2025-11-15 00:00:00
855,14,5,,2026-05-21 00:00:00
1820,14,5,"Producto de primera calidad, servicio impecable.",2026-03-27 00:00:00
221,14,4,,2025-09-02 00:00:00
992,14,4,,2024-01-11 00:00:00
24,14,4,,2024-09-04 00:00:00
943,14,5,"La mejor comida del País Vasco, sin exagerar.",2025-12-08 00:00:00
115,14,5,"Un lujo para el paladar, altamente recomendable.",2026-03-22 00:00:00
236,14,5,,2025-02-18 00:00:00
234,14,5,,2025-08-18 00:00:00
1051,15,4,"Buena experiencia, repetiría.",2025-03-11 00:00:00
1268,15,3,"Aceptable, hay opciones mejores en la zona.",2025-12-20 00:00:00
1402,15,4,,2024-08-24 00:00:00
915,15,5,,2024-05-02 00:00:00
1263,15,4,"Rico y bien elaborado, lo recomiendo.",2024-07-15 00:00:00
1175,15,5,"De los mejores que he probado, una joya.",2026-02-17 00:00:00
1808,15,5,,2024-04-12 00:00:00
95,15,5,,2025-01-04 00:00:00
567,15,5,,2025-06-30 00:00:00
1905,15,5,,2024-02-25 00:00:00
1788,15,4,"Rico y bien elaborado, lo recomiendo.",2025-10-15 00:00:00
919,15,3,"Correcto, sin más. Esperaba algo más.",2025-08-10 00:00:00
1247,15,4,"Buena experiencia, repetiría.",2024-07-07 00:00:00
1874,16,3,,2025-05-04 00:00:00
1741,16,5,,2025-05-18 00:00:00
94,16,4,Muy buena relación calidad-precio.,2024-06-04 00:00:00
52,16,5,"Producto de primera calidad, servicio impecable.",2024-03-28 00:00:00
759,16,3,,2026-02-21 00:00:00
1631,16,5,"De los mejores que he probado, una joya.",2024-08-19 00:00:00
1976,16,5,"Un lujo para el paladar, altamente recomendable.",2024-10-31 00:00:00
300,16,2,El producto podría ser más fresco.,2025-08-05 00:00:00
1195,16,4,Muy buena relación calidad-precio.,2026-02-20 00:00:00
770,16,5,,2025-11-07 00:00:00
1943,16,5,,2025-07-19 00:00:00
1695,16,4,,2025-04-06 00:00:00
1688,16,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-08-25 00:00:00
943,16,5,,2026-05-30 00:00:00
838,16,5,"Producto de primera calidad, servicio impecable.",2026-03-17 00:00:00
552,16,5,"La mejor comida del País Vasco, sin exagerar.",2025-03-11 00:00:00
115,16,5,,2024-06-01 00:00:00
1738,16,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-03-02 00:00:00
1635,16,4,,2026-02-05 00:00:00
2000,16,5,"Un lujo para el paladar, altamente recomendable.",2024-05-07 00:00:00
1994,16,5,,2025-02-16 00:00:00
1116,16,4,"Producto fresco y bien tratado, muy satisfecho.",2025-03-24 00:00:00
271,17,4,,2025-03-18 00:00:00
30,17,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-04-03 00:00:00
708,17,3,Ni mal ni especialmente bien.,2025-08-24 00:00:00
1185,17,2,El producto podría ser más fresco.,2025-08-13 00:00:00
794,17,4,"Producto fresco y bien tratado, muy satisfecho.",2025-06-15 00:00:00
881,17,4,"Rico y bien elaborado, lo recomiendo.",2025-08-22 00:00:00
1816,17,4,Muy buena relación calidad-precio.,2025-04-26 00:00:00
702,17,3,,2025-11-17 00:00:00
1033,17,4,,2025-02-25 00:00:00
1576,17,4,,2025-02-14 00:00:00
152,18,4,"Producto fresco y bien tratado, muy satisfecho.",2024-03-31 00:00:00
256,18,4,,2026-03-02 00:00:00
254,18,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-11-04 00:00:00
303,18,3,"Correcto, sin más. Esperaba algo más.",2024-07-11 00:00:00
276,18,5,"Un lujo para el paladar, altamente recomendable.",2025-10-02 00:00:00
1292,18,5,,2024-09-30 00:00:00
365,18,4,"Producto fresco y bien tratado, muy satisfecho.",2025-12-16 00:00:00
697,18,5,,2025-10-07 00:00:00
1800,18,5,,2024-06-11 00:00:00
952,18,5,,2025-02-21 00:00:00
1344,18,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-04-17 00:00:00
346,18,4,"Rico y bien elaborado, lo recomiendo.",2025-05-25 00:00:00
387,18,3,,2025-12-23 00:00:00
85,18,5,"Un lujo para el paladar, altamente recomendable.",2024-09-06 00:00:00
340,18,5,,2024-07-14 00:00:00
562,18,2,"No cumplió expectativas, he comido mejor.",2024-03-12 00:00:00
932,19,5,"Un lujo para el paladar, altamente recomendable.",2024-12-14 00:00:00
1506,19,2,Decepcionante para el precio que cobran.,2024-10-16 00:00:00
77,19,4,"Nos fue muy bien, cocina honesta y sabrosa.",2025-11-06 00:00:00
508,19,4,,2025-07-05 00:00:00
1438,19,4,,2026-02-20 00:00:00
1797,19,5,"Producto de primera calidad, servicio impecable.",2024-07-12 00:00:00
1029,19,3,,2025-01-27 00:00:00
1070,19,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-11-21 00:00:00
213,19,5,"Un lujo para el paladar, altamente recomendable.",2025-01-30 00:00:00
901,19,3,"Bien pero sin sorpresas, precio algo elevado.",2025-05-22 00:00:00
173,20,3,,2025-08-27 00:00:00
1081,20,4,,2026-05-15 00:00:00
1180,20,5,"Un lujo para el paladar, altamente recomendable.",2024-01-16 00:00:00
1502,20,5,"La mejor comida del País Vasco, sin exagerar.",2024-03-17 00:00:00
869,20,4,"Buena experiencia, repetiría.",2025-09-30 00:00:00
253,20,4,"Buena experiencia, repetiría.",2026-05-22 00:00:00
572,20,4,"Buena experiencia, repetiría.",2025-10-03 00:00:00
731,20,5,"De los mejores que he probado, una joya.",2024-02-06 00:00:00
1301,20,5,,2025-12-01 00:00:00
1149,20,2,Decepcionante para el precio que cobran.,2025-03-20 00:00:00
718,20,3,"Correcto, sin más. Esperaba algo más.",2025-03-30 00:00:00
1974,20,4,,2024-01-30 00:00:00
1219,20,3,"Aceptable, hay opciones mejores en la zona.",2025-01-02 00:00:00
477,20,5,,2025-06-27 00:00:00
201,20,4,"Rico y bien elaborado, lo recomiendo.",2024-06-23 00:00:00
305,20,5,"Un lujo para el paladar, altamente recomendable.",2025-09-26 00:00:00
496,20,4,"Nos fue muy bien, cocina honesta y sabrosa.",2024-05-26 00:00:00
323,20,4,"Producto fresco y bien tratado, muy satisfecho.",2024-09-18 00:00:00
375,20,3,"Normal, la calidad era buena pero el servicio flojo.",2024-10-21 00:00:00
575,20,4,,2025-03-28 00:00:00
583,21,2,El producto podría ser más fresco.,2025-10-16 00:00:00
1170,21,3,"Normal, la calidad era buena pero el servicio flojo.",2026-05-15 00:00:00
308,21,4,"Producto fresco y bien tratado, muy satisfecho.",2024-04-19 00:00:00
969,21,4,"Nos fue muy bien, cocina honesta y sabrosa.",2024-10-29 00:00:00
1070,21,4,,2026-04-29 00:00:00
106,21,3,,2025-08-02 00:00:00
679,21,2,Decepcionante para el precio que cobran.,2025-09-12 00:00:00
267,21,4,"Buena experiencia, repetiría.",2026-03-05 00:00:00
128,21,4,"Buena experiencia, repetiría.",2024-08-12 00:00:00
1982,21,4,"Rico y bien elaborado, lo recomiendo.",2025-10-05 00:00:00
652,21,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-11-12 00:00:00
1630,21,4,,2025-01-08 00:00:00
512,21,4,,2024-10-29 00:00:00
328,22,5,"La mejor comida del País Vasco, sin exagerar.",2024-05-15 00:00:00
330,22,5,"Producto de primera calidad, servicio impecable.",2025-06-27 00:00:00
1638,22,4,,2024-06-17 00:00:00
1340,22,5,"Un lujo para el paladar, altamente recomendable.",2026-04-05 00:00:00
1050,22,4,Muy buena relación calidad-precio.,2025-04-24 00:00:00
723,22,2,,2024-08-19 00:00:00
1762,22,4,"Producto fresco y bien tratado, muy satisfecho.",2026-05-16 00:00:00
794,22,4,"Producto fresco y bien tratado, muy satisfecho.",2024-01-15 00:00:00
1642,22,5,,2025-01-12 00:00:00
885,22,5,"De los mejores que he probado, una joya.",2025-01-25 00:00:00
1257,23,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-11-22 00:00:00
1441,23,4,,2025-07-28 00:00:00
1886,23,5,"Experiencia gastronómica excepcional, volveré sin duda.",2025-10-12 00:00:00
1264,23,4,"Buena experiencia, repetiría.",2025-10-26 00:00:00
676,23,5,,2024-02-08 00:00:00
278,23,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-08-28 00:00:00
1596,23,4,,2025-04-09 00:00:00
1247,23,4,"Nos fue muy bien, cocina honesta y sabrosa.",2025-03-05 00:00:00
1074,23,4,"Producto fresco y bien tratado, muy satisfecho.",2025-11-01 00:00:00
1795,23,4,"Producto fresco y bien tratado, muy satisfecho.",2024-10-13 00:00:00
1586,23,4,"Producto fresco y bien tratado, muy satisfecho.",2025-03-31 00:00:00
303,23,3,"Correcto, sin más. Esperaba algo más.",2025-12-03 00:00:00
631,23,5,"Producto de primera calidad, servicio impecable.",2024-03-03 00:00:00
1451,25,5,,2024-05-05 00:00:00
1292,25,3,"Correcto, sin más. Esperaba algo más.",2025-11-09 00:00:00
1398,25,4,Muy buena relación calidad-precio.,2024-02-21 00:00:00
1092,25,4,,2024-05-08 00:00:00
507,25,5,,2026-04-29 00:00:00
697,25,4,,2024-08-09 00:00:00
364,25,4,,2026-03-03 00:00:00
1824,25,4,Muy buena relación calidad-precio.,2024-10-10 00:00:00
1173,25,3,,2024-05-13 00:00:00
809,25,4,Muy buena relación calidad-precio.,2025-11-07 00:00:00
1160,26,3,,2025-01-01 00:00:00
1221,26,5,,2024-11-27 00:00:00
855,26,5,,2024-05-09 00:00:00
1483,26,4,Muy buena relación calidad-precio.,2025-05-02 00:00:00
1876,26,5,"De los mejores que he probado, una joya.",2024-04-21 00:00:00
1859,26,5,,2025-09-21 00:00:00
908,26,4,"Nos fue muy bien, cocina honesta y sabrosa.",2024-11-04 00:00:00
225,26,4,Muy buena relación calidad-precio.,2025-05-05 00:00:00
1971,26,4,Muy buena relación calidad-precio.,2025-05-17 00:00:00
1689,26,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-11-25 00:00:00
699,27,4,,2024-10-08 00:00:00
700,27,5,"Producto de primera calidad, servicio impecable.",2025-01-25 00:00:00
1484,27,3,"Normal, la calidad era buena pero el servicio flojo.",2025-06-01 00:00:00
910,27,5,,2025-12-19 00:00:00
450,27,5,"De los mejores que he probado, una joya.",2026-01-08 00:00:00
911,27,3,"Bien pero sin sorpresas, precio algo elevado.",2025-02-27 00:00:00
280,27,5,"Un lujo para el paladar, altamente recomendable.",2026-01-17 00:00:00
353,27,5,"Producto de primera calidad, servicio impecable.",2025-01-18 00:00:00
1001,27,3,"Normal, la calidad era buena pero el servicio flojo.",2024-03-09 00:00:00
845,27,5,,2025-03-18 00:00:00
1838,27,5,"La mejor comida del País Vasco, sin exagerar.",2025-07-23 00:00:00
730,27,5,"De los mejores que he probado, una joya.",2024-12-03 00:00:00
1168,27,5,"Un lujo para el paladar, altamente recomendable.",2026-01-08 00:00:00
132,28,5,,2024-11-15 00:00:00
1560,28,5,"La mejor comida del País Vasco, sin exagerar.",2024-06-07 00:00:00
913,28,5,,2024-04-20 00:00:00
1053,28,4,Muy buena relación calidad-precio.,2026-02-19 00:00:00
888,28,4,,2025-03-15 00:00:00
809,28,5,"De los mejores que he probado, una joya.",2025-09-20 00:00:00
1126,28,5,"De los mejores que he probado, una joya.",2025-11-04 00:00:00
310,28,4,,2024-07-03 00:00:00
365,28,5,"Producto de primera calidad, servicio impecable.",2024-12-25 00:00:00
1732,28,5,"De los mejores que he probado, una joya.",2025-11-04 00:00:00
1352,29,4,,2025-10-10 00:00:00
40,29,3,,2025-06-27 00:00:00
206,29,4,"Buena experiencia, repetiría.",2024-06-10 00:00:00
1608,29,5,"De los mejores que he probado, una joya.",2025-09-02 00:00:00
358,29,4,,2024-06-10 00:00:00
1315,29,4,,2024-03-24 00:00:00
479,29,4,"Producto fresco y bien tratado, muy satisfecho.",2025-09-13 00:00:00
196,29,4,,2026-02-12 00:00:00
490,29,5,,2024-04-23 00:00:00
1455,29,4,"Producto fresco y bien tratado, muy satisfecho.",2025-06-23 00:00:00
767,30,5,,2025-02-08 00:00:00
1186,30,3,,2024-07-28 00:00:00
540,30,5,,2024-05-20 00:00:00
1257,30,5,,2024-05-02 00:00:00
827,30,5,"La mejor comida del País Vasco, sin exagerar.",2024-05-12 00:00:00
1110,30,5,"De los mejores que he probado, una joya.",2025-07-26 00:00:00
878,30,4,Muy buena relación calidad-precio.,2025-02-10 00:00:00
593,30,3,,2024-01-20 00:00:00
1902,30,4,,2024-11-16 00:00:00
1535,30,5,"Un lujo para el paladar, altamente recomendable.",2024-10-23 00:00:00
1114,31,5,,2024-11-28 00:00:00
1311,31,4,"Producto fresco y bien tratado, muy satisfecho.",2026-05-01 00:00:00
1669,31,5,"Un lujo para el paladar, altamente recomendable.",2026-05-14 00:00:00
414,31,5,"Un lujo para el paladar, altamente recomendable.",2025-06-20 00:00:00
22,31,5,"Producto de primera calidad, servicio impecable.",2024-08-14 00:00:00
272,31,5,,2025-06-06 00:00:00
1805,31,4,"Rico y bien elaborado, lo recomiendo.",2026-03-05 00:00:00
1756,31,5,"La mejor comida del País Vasco, sin exagerar.",2024-08-29 00:00:00
1202,31,5,,2024-06-26 00:00:00
1209,31,4,Muy buena relación calidad-precio.,2024-06-30 00:00:00
787,32,5,"Un lujo para el paladar, altamente recomendable.",2026-02-11 00:00:00
583,32,5,"De los mejores que he probado, una joya.",2025-10-20 00:00:00
717,32,5,"Producto de primera calidad, servicio impecable.",2024-06-03 00:00:00
1450,32,4,"Buena experiencia, repetiría.",2026-03-26 00:00:00
598,32,5,,2025-06-03 00:00:00
1141,32,5,"Experiencia gastronómica excepcional, volveré sin duda.",2024-02-28 00:00:00
958,32,4,,2025-10-22 00:00:00
1336,32,4,"Nos fue muy bien, cocina honesta y sabrosa.",2025-08-31 00:00:00
1881,32,5,"De los mejores que he probado, una joya.",2026-03-21 00:00:00
1475,32,5,,2026-04-09 00:00:00
432,32,5,,2025-09-11 00:00:00
62,32,5,,2024-03-04 00:00:00
528,32,5,"Producto de primera calidad, servicio impecable.",2026-01-01 00:00:00
1197,32,4,Muy buena relación calidad-precio.,2024-09-10 00:00:00
105,32,5,"De los mejores que he probado, una joya.",2025-06-19 00:00:00
1842,34,5,"Producto de primera calidad, servicio impecable.",2025-01-31 00:00:00
272,34,5,,2025-09-04 00:00:00
1905,34,5,"Producto de primera calidad, servicio impecable.",2024-03-08 00:00:00
899,34,4,"Producto fresco y bien tratado, muy satisfecho.",2024-10-17 00:00:00
372,34,5,"De los mejores que he probado, una joya.",2024-06-02 00:00:00
1091,34,5,"La mejor comida del País Vasco, sin exagerar.",2024-12-24 00:00:00
1754,34,5,"Un lujo para el paladar, altamente recomendable.",2024-05-12 00:00:00
1475,34,4,"Buena experiencia, repetiría.",2025-07-26 00:00:00
1622,34,4,"Rico y bien elaborado, lo recomiendo.",2025-11-17 00:00:00
1326,34,5,"De los mejores que he probado, una joya.",2024-04-05 00:00:00
1732,35,5,"Producto de primera calidad, servicio impecable.",2024-01-19 00:00:00
1699,35,5,,2024-08-07 00:00:00
646,35,5,"La mejor comida del País Vasco, sin exagerar.",2024-08-19 00:00:00
