Nombre,Descripción,Tipo de lugar,Dirección,Municipio,Provincia,Postal Code,Marcas,Email,Teléfono,WEB,URL amigable,Visita Guiada,Capacidad,Tienda,Tipo de Cultura,Coordenadas GPS,LATWGS84,LONWGS84
Eureka! Zientzia Museoa,"El museo de la ciencia Eureka! es un espacio ubicado en un entorno natural, en el Parque Tecnol&o...",Museo,Paseo Mikeletegi 43-45,Donostia / San Sebastián,Gipuzkoa,20009.0,San Sebastián,eureka@eurekamuseoa.eus,943 012 478,https://www.eurekamuseoa.eus/,https://turismoa.euskadi.eus/es/museos/eureka-zientzia-museoa/webtur00-content/es/,1.0,817.0,1.0,Ciencias Naturales,"43.29053023322701,-1.9841788273849943",43.29053023322701,-1.9841788273849943
D?Museoa,"El D’Museoa es el museo diocesano de San Sebastián, que recoge Obras de Arte Religio...",Museo,"Calle 31 de Agosto,  46",Donostia / San Sebastián,Gipuzkoa,20010.0,San Sebastián,info@dmuseoa.com,617 256 284,https://www.dmuseoa.com/,https://turismoa.euskadi.eus/es/museos/museo-diocesano/webtur00-content/es/,1.0,100.0,0.0,Religión,"43.30813282,-1.98146191",43.30813282,-1.98146191
Larraulgo Ekomuseoa,"Larraulgo Ekomuseoa nació en 2009, y pretende contribuir al desarrollo económico y ...",Museo,"Plaza San Esteban, s/n",Larraul,Gipuzkoa,20159.0,Montes y Valles vascos,kultura@larraul.eus,943 693 042,https://larraulekomuseoa.net/,https://turismoa.euskadi.eus/es/museos/larraulgo-ekomuseoa/webtur00-content/es/,1.0,0.0,1.0,Etnografía,"43.18980020880312,-2.1009032169189368",43.18980020880312,-2.1009032169189368
Museum Cemento Rezola,"Museum Cemento Rezola está dedicado en a la historia del cemento, realizando tambié...",Museo,Av. Añorga 36,Donostia / San Sebastián,Gipuzkoa,20018.0,San Sebastián,info@museumcementorezola.org,943 364 192,http://www.museumcementorezola.org,https://turismoa.euskadi.eus/es/museos/museum-cemento-rezola/webtur00-content/es/,1.0,100.0,0.0,Otros,"43.28548050079436,-2.0003485552700795",43.28548050079436,-2.0003485552700795
"D'elikatuz, Centro de la Alimentación y la Gastronomía",D'elikatuz es el centro de alimentación y gastronomía que abrió sus puertas ...,Museo,"C/ Santa María, 24",Ordizia,Gipuzkoa,20240.0,Montes y Valles vascos,komunikazioa@delikatuz.com,943 882 290,http://www.delikatuz.com,https://turismoa.euskadi.eus/es/museos/delikatuz-centro-de-la-alimentacion-y-la-gastronomia/webtur00-content/es/,1.0,0.0,1.0,Gastronomía,"43.0539232684332,-2.1783149246557514",43.0539232684332,-2.1783149246557514
Museo Chillida-Leku,El Museo Chillida Leku es el lugar donde se encuentra el corpus de obra más amplio y repre...,Museo,"Bº Jauregi, 66",Hernani,Gipuzkoa,20120.0,Montes y Valles vascos,info@museochillidaleku.com,943 335 963,https://www.museochillidaleku.com/,https://turismoa.euskadi.eus/es/museos/museo-chillida-leku/webtur00-content/es/,1.0,180.0,1.0,Arte,"43.27864942,-1.99861955",43.27864942,-1.99861955
Museo Zumalakarregi,El Museo es hoy centro de referencia para el conocimiento y estudio del País Vasco en el s...,Museo,"Muxika egurastokia, 6. Caserío Iriarte-Erdikoa.",Ormaiztegi,Gipuzkoa,20216.0,Montes y Valles vascos,mzumalakarregi@gipuzkoa.eus,943 889 900,https://www.zumalakarregimuseoa.eus/es,https://turismoa.euskadi.eus/es/museos/museo-zumalakarregi/webtur00-content/es/,1.0,100.0,1.0,Historia,"43.043037,-2.2546898",43.043037,-2.2546898
Luberri. Centro de Interpretación Geológica,El Centro de Interpretación Geológica Luberri ofrece una oportunidad única d...,Museo,"Polígono Pagoaldea, 41-42. Barrio Ergoien",Oiartzun,Gipuzkoa,20180.0,Montes y Valles vascos,luberrimuseoa@gmail.com,943 260 593,https://www.luberrimuseoa.eus/museoa/,https://turismoa.euskadi.eus/es/museos/luberri-centro-de-interpretacion-geologica/webtur00-content/es/,1.0,25.0,1.0,Ciencias Naturales,"43.286365788184355,-1.83285435430912",43.28636578818436,-1.83285435430912
Conjunto Monumental de Igartza,"Este conjunto está formado por palacios, ermitas, molinos hidráulicos, ferrer&iacut...",Museo,Peategi Kalea,Beasain,Gipuzkoa,20200.0,Montes y Valles vascos,igartza@beasain.eus,943 087 798,https://www.igartza.eus/,https://turismoa.euskadi.eus/es/museos/conjunto-medieval-de-igartza/webtur00-content/es/,1.0,0.0,0.0,Historia,"43.04727339999999,-2.2077626999999893",43.04727339999999,-2.2077626999999893
Centro de Interpretación y Degustación del Queso Idiazabal,"Muestra toda la historia del Queso Idiazabal, elaborado con leche cruda de ovejas latxa y carranz...",Museo,"Kale Nagusia, 37 bajo",Idiazabal,Gipuzkoa,20218.0,Montes y Valles vascos,info@idiazabalturismo.com,943 188 203,https://www.idiazabalturismo.com/es/,https://turismoa.euskadi.eus/es/museos/centro-de-interpretacion-y-degustacion-del-queso-idiazabal/webtur00-content/es/,1.0,60.0,1.0,Gastronomía,"43.010162391112175,-2.2335962166764602",43.010162391112175,-2.23359621667646
Museo Salino,El Museo de la Sal de Leintz Gatzaga muestra las instalaciones utilizadas durante siglos para la ...,Museo,"Dorleta bidea, s/n",Leintz-Gatzaga,Gipuzkoa,20530.0,Montes y Valles vascos,reservas@gatzmuseoa.com,943 714 792,https://www.gatzmuseoa.com/,https://turismoa.euskadi.eus/es/museos/museo-de-la-sal/webtur00-content/es/,1.0,63.0,0.0,Otros,"42.98285594,-2.56593463",42.98285594,-2.56593463
Museo-Territorio Lenbur,El proyecto Lenbur (Legazpi Natura eta Burdina) rompe con la definición del museo como esp...,Museo,"Mirandaola Parkea. Telleriarte auzoa, s/n",Legazpi,Gipuzkoa,20230.0,Montes y Valles vascos,mirandaola@lenbur.com,943 730 428,https://lenbur.com/,https://turismoa.euskadi.eus/es/museos/museo-territorio-lenbur/webtur00-content/es/,1.0,100.0,0.0,Etnografía,"43.03661719,-2.33706763",43.03661719,-2.33706763
"D'elikatuz, Centro de interpretación del Goierri","El Centro de interpretación del Goierri muestra mediante maquetas, diaporamas, materiales ...",Museo,"C/ Santa María, 24",Ordizia,Gipuzkoa,20240.0,Montes y Valles vascos,delikatuz@ordizia.eus,943 882 290,https://www.delikatuz.com/,https://turismoa.euskadi.eus/es/museos/delikatuz-centro-de-interpretacion-del-goierri/webtur00-content/es/,1.0,50.0,1.0,Etnografía,"43.0538222,-2.178485099999989",43.0538222,-2.178485099999989
Ekoetxea Azpeitia,"Se encuentra situada cerca de los jardines de la basílica de Loiola, y tiene como objetivo...",Museo,"Loiola Auzoa, 1",Azpeitia,Gipuzkoa,20730.0,Montes y Valles vascos,info.azpeitia@ekoetxea.eus,943 812 448,https://www.ekoetxea.eus/,https://turismoa.euskadi.eus/es/museos/museo-del-medio-ambiente-ingurugiro-etxea/webtur00-content/es/,1.0,0.0,0.0,Ciencias Naturales,"43.175548680986566,-2.277248805581962",43.175548680986566,-2.277248805581962
Museo Ibarraundi,"En 1986, en un local situado en el mismo Ayuntamiento, se creó el Museo Escuela de Eskoria...",Museo,"Intxaurtxueta, z/g",Eskoriatza,Gipuzkoa,20540.0,Montes y Valles vascos,ibarraundi@eskoriatza.eus,943 715 453,https://eskoriatza.eus/es/eskoriatza/conocer-eskoriatza/museo-ibarraundi/museo-ibarraundi/,https://turismoa.euskadi.eus/es/museos/museo-ibarraundi/webtur00-content/es/,1.0,100.0,1.0,Etnografía,"43.020210323007475,-2.5243345542449958",43.02021032300748,-2.524334554244996
Museo Vasco del Ferrocarril,"Locomotoras de vapor, tranvías urbanos, vagones de viajeros y mercancías, trolebuse...",Museo,"Julián Elorza, 8",Azpeitia,Gipuzkoa,20730.0,Montes y Valles vascos,museoa@euskotren.eus,943 150 677,https://museoa.euskotren.eus/eu,https://turismoa.euskadi.eus/es/museos/museo-vasco-del-ferrocarril/webtur00-content/es/,1.0,500.0,1.0,Otros,"43.185703844685925,-2.261402496745857",43.185703844685925,-2.261402496745857
Urrelur. Museo de Minerales y Fósiles,El núcleo inicial de los fondos del Museo de Minerales y Fósiles procede de una col...,Museo,"Jauregi Kalea, 19. Casa de Cultura",Urretxu,Gipuzkoa,20700.0,Montes y Valles vascos,urrelur@urretxu.eus,943 038 088,https://urretxu.eus/es/promocion-sociocultural/cultura/instalaciones/museo-de-urretxu,https://turismoa.euskadi.eus/es/museos/urrelur-museo-de-minerales-y-fosiles/webtur00-content/es/,1.0,50.0,1.0,Ciencias Naturales,"43.093104368022544,-2.314485114418062",43.093104368022544,-2.314485114418062
Z ESPACIO CULTURAL,"Espacio Cultural creado por Ignacio Zuloaga entre 1910-20, sobre las ruinas de una ermita (S. XV)...",Museo,"Bº Santiago auzoa, 3",Zumaia,Gipuzkoa,20750.0,Costa Vasca,info@espaciozuloaga.com,34  677 078 445,http://www.espaciozuloaga.com,https://turismoa.euskadi.eus/es/museos/espacio-cultural-ignacio-zuloaga/webtur00-content/es/,1.0,50.0,0.0,Arte,"43.2979527,-2.2477350000000342",43.2979527,-2.2477350000000342
Centro de Interpretación de Algorri,El centro de interpretación Algorri nos ayuda a entender los acantilados de&nbsp...,Museo,"Juan Belmonte, 21",Zumaia,Gipuzkoa,20750.0,Costa Vasca,info@algorri.eus,943 143 100,https://www.algorri.eus/?lang=es,https://turismoa.euskadi.eus/es/museos/centro-de-interpretacion-de-algorri/webtur00-content/es/,1.0,50.0,0.0,Ciencias Naturales,"43.29964021310651,-2.2550572689796127",43.29964021310651,-2.2550572689796127
Caserío Museo Igartubeiti,Es un exponente de la arquitectura en madera de los siglos XVI y XVII y fiel reflejo de la Edad d...,Museo,Carretera Ezkio,Ezkio-Itsaso,Gipuzkoa,20709.0,Montes y Valles vascos,igartubeiti@gipuzkoa.eus,943 722 978,https://www.igartubeitibaserria.eus/,https://turismoa.euskadi.eus/es/museos/caserio-museo-igartubeiti/webtur00-content/es/,1.0,80.0,0.0,Etnografía,"43.0747343,-2.28538161",43.0747343,-2.28538161
Photomuseum. Argazki & Zinema Museoa,Photomuseum. Argazki & Zinema Museoa hace un recorrido a través de la historia del art...,Museo,"San Ignacio, 11. Apdo. 251",Zarautz,Gipuzkoa,20800.0,Costa Vasca,photomuseum@photomuseum.name,943 130 906,https://photomuseum.es/,https://turismoa.euskadi.eus/es/museos/photomuseum-argazki-zinema-museoa/webtur00-content/es/,1.0,60.0,1.0,Arte,"43.2844465,-2.1778492999999344",43.2844465,-2.1778492999999344
Museo Guggenheim Bilbao,"Convertido en símbolo del nuevo Bilbao, el Museo Guggenheim Bilbao constituye uno de los p...",Museo,"Avenida Abandoibarra, 2",Bilbao,Bizkaia,48009.0,Bilbao,informacion@guggenheim-bilbao.eus,944 359 080,https://www.guggenheim-bilbao.eus/,https://turismoa.euskadi.eus/es/museos/museo-guggenheim-bilbao/webtur00-content/es/,1.0,0.0,1.0,Arte,"43.26883030680237,-2.9340993057350033",43.26883030680237,-2.934099305735004
Conjunto Ferro Molinero de Agorregi,"Está situado en el corazón del Parque Natural de Pagoeta, próximo ...",Museo,Parque Natural de Pagoeta. Bº Laurgain s/n,Aia,Gipuzkoa,20809.0,Montes y Valles vascos,iturraran@gipuzkoanatura.eus,943 835 389,,https://turismoa.euskadi.eus/es/museos/conjunto-ferro-molinero-de-agorregi/webtur00-content/es/,1.0,100.0,0.0,Historia,"43.24986232437808,-2.156677797839393",43.24986232437808,-2.156677797839393
Museo de Arte Sacro,El Museo Diocesano de Arte Sacro expone obras relacionadas con el arte religioso de Bizkaia. El e...,Museo,"Plaza de la Encarnación, 9-B",Bilbao,Bizkaia,48006.0,Bilbao,museo@eleizmuseoa.com,944 320 125,http://www.eleizmuseoa.com,https://turismoa.euskadi.eus/es/museos/museo-diocesano-de-arte-sacro-bilbao/webtur00-content/es/,1.0,320.0,1.0,Religión,"43.25356330823307,-2.9208300567459022",43.25356330823307,-2.9208300567459022
Museo de la Máquina-Herramienta,El Museo de la Máquina-Herramienta quiere homenajear a las personas que hicieron posible e...,Museo,"Azkue Bailara, 1",Elgoibar,Gipuzkoa,20870.0,Montes y Valles vascos,museoa@museoa.eus,943 748 456,http://www.museoa.eus/es/,https://turismoa.euskadi.eus/es/museos/museo-de-la-maquina-herramienta/webtur00-content/es/,1.0,25.0,1.0,Otros,"43.21094921,-2.41008419",43.21094921,-2.41008419
Museo de Pasos de Semana Santa,"En este museo, ubicado en pleno centro del Casco viejo bilbaíno, se pueden admirar la mayo...",Museo,"Iturribide, 3",Bilbao,Bizkaia,48006.0,Bilbao,info@museodepasosbilbao.com,944 150 433,http://www.museodepasosbilbao.com/,https://turismoa.euskadi.eus/es/museos/museo-de-pasos-de-semana-santa/webtur00-content/es/,1.0,80.0,1.0,Religión,"43.258211134514184,-2.920477748479462",43.25821113451418,-2.920477748479462
Ecomuseo del Caserío Vasco,El Ecomuseo o Euskal Baserria se sitúa en un caserío reproducción de una cas...,Museo,"Herriko Plaza, s/n",Artea,Bizkaia,48142.0,Montes y Valles vascos,info@euskalbaserria.com,,,https://turismoa.euskadi.eus/es/museos/ecomuseo-del-caserio-vasco/webtur00-content/es/,1.0,0.0,0.0,Otros,"43.13325159491203,-2.7813168743285814",43.13325159491203,-2.781316874328581
Museo Taurino de Bilbao,El Museo Taurino repasa la historia de la tauromaquia en Bilbao y Bizkaia. Está configurad...,Museo,"Plaza de Toros de Vista Alegre. Martín Agüero, 1",Bilbao,Bizkaia,48012.0,Bilbao,info@plazatorosbilbao.com,944 448 698,http://www.plazatorosbilbao.com,https://turismoa.euskadi.eus/es/museos/museo-taurino-de-bilbao/webtur00-content/es/,1.0,80.0,1.0,Otros,"43.2555485729847,-2.9375311059832687",43.2555485729847,-2.9375311059832687
Casa de Juntas de Gernika,La Casa de Juntas de Gernika es uno de los símbolos más representativos de los vasc...,Museo,"Allende Salazar, s/n",Gernika-Lumo,Bizkaia,48300.0,"Montes y Valles vascos,Bilbao",batzar.etxea@bizkaia.org,946 251 138,http://www.jjggbizkaia.net,https://turismoa.euskadi.eus/es/top10/museos/casa-de-juntas-de-gernika/webtur00-content/es/,1.0,60.0,1.0,Historia,"43.3130368,-2.6796736999999666",43.3130368,-2.679673699999966
Museo Euskal Herria,"Situado en el núcleo monumental de Gernika, el Palacio de Alegría acoge el Museo Eu...",Museo,"Palacio Alegría. Allende Salazar, 5",Gernika-Lumo,Bizkaia,48300.0,Montes y Valles vascos,euskalherriamuseoa@bizkaia.eus,946 255 451,http://bizkaikoa.bizkaia.eus/detalleContenido.asp?id=49&t=1,https://turismoa.euskadi.eus/es/museos/museo-euskal-herria/webtur00-content/es/,1.0,260.0,1.0,Historia,"43.31405090317512,-2.6795809417335437",43.31405090317512,-2.679580941733544
Museo del Pescador,"Sobre el Puerto Viejo de Bermeo se alza la histórica Torre de Ercilla, declarada Monumento...",Museo,"Torre Ercilla. Torronteroko Enparantza, s/n",Bermeo,Bizkaia,48370.0,Costa Vasca,arrantzaleenmuseoa@bizkaia.eus,946 881 171,http://bizkaikoa.bizkaia.eus/detalleContenido.asp?id=52&t=1,https://turismoa.euskadi.eus/es/museos/museo-del-pescador/webtur00-content/es/,1.0,300.0,1.0,Marítimo,"43.42035484901137,-2.7211338249876516",43.42035484901137,-2.721133824987652
Museo Marítimo Itsasmuseum Bilbao,"La zona exterior, de 20.000 m2, alberga los antiguos diques del astillero Euskalduna, donde encue...",Museo,"Muelle Ramón de la Sota, 1",Bilbao,Bizkaia,48013.0,Bilbao,info@itsasmuseum.eus,946 085 500,https://www.itsasmuseum.eus,https://turismoa.euskadi.eus/es/museos/museo-maritimo-ria-de-bilbao/webtur00-content/es/,1.0,600.0,1.0,Marítimo,"43.26614725,-2.94633913",43.26614725,-2.94633913
Museo de Orozko,"Gracias a su exposición permanente, puesto que realiza las funciones propias de una oficin...",Museo,"Zubiaur Plaza, s/n",Orozko,Bizkaia,48410.0,Montes y Valles vascos,museoa.orozko@bizkaia.org,946 339 823,https://www.orozkomuseoa.eus/,https://turismoa.euskadi.eus/es/museos/museo-de-orozko/webtur00-content/es/,1.0,30.0,1.0,Etnografía,"43.10709769598927,-2.9111608496681356",43.10709769598927,-2.911160849668136
Museo de la Minería del País Vasco,El Museo de la Minería del País Vasco está dedicado al estudio y difusi&oacu...,Museo,"Bº Campodiego, s/n",Abanto y Ciérvana-Abanto Zierbena,Bizkaia,48500.0,Montes y Valles vascos,informacion@meatzaldea.eus,946 363 682,https://meatzaldea.eus/,https://turismoa.euskadi.eus/es/museos/museo-de-la-mineria-del-pais-vasco/webtur00-content/es/,1.0,216.0,1.0,Otros,"43.31143489999999,-3.0700597999999673",43.31143489999999,-3.070059799999968
Museo de la Paz de Gernika,El bombardeo contado por las personas que lo vivieron. ¿Qué pasa actualmente con lo...,Museo,"Foru Plaza, 1",Gernika-Lumo,Bizkaia,48300.0,Montes y Valles vascos,museoa@gernika-lumo.net,946 270 213,https://www.museodelapaz.org/,https://turismoa.euskadi.eus/es/museos/fundacion-museo-de-la-paz-de-gernika/webtur00-content/es/,1.0,275.0,1.0,Historia,"43.31502700888991,-2.678570839405663",43.31502700888991,-2.678570839405663
Ferrería de El Pobal,"El conjunto visitable, emplazado en un bello marco natural a orillas del río Barbad&uacute...",Museo,"Carretera Muskiz-Sopuerta. Barrio de El Pobal, s/n.",Muskiz,Bizkaia,48550.0,Costa Vasca,elpobal@bizkaia.eus,629 271 516,http://bizkaikoa.bizkaia.eus/detalleContenido.asp?id=60&t=1,https://turismoa.euskadi.eus/es/museos/ferreria-de-el-pobal/webtur00-content/es/,1.0,80.0,1.0,Otros,"43.297372655813064,-3.1255993544921257",43.29737265581306,-3.1255993544921257
Museo Plasentia Butron,"Situado en el casco antiguo de Plentzia, en un edificio del siglo XVI que fue el consistorio de l...",Museo,"Goienkale, 27",Plentzia,Bizkaia,48620.0,Costa Vasca,contacto@museoplentzia.org,946 773 725,http://www.museoplentzia.org,https://turismoa.euskadi.eus/es/museos/museo-plasentia-butron/webtur00-content/es/,1.0,20.0,0.0,Marítimo,"43.404745928591524,-2.9481271310450796",43.40474592859152,-2.94812713104508
Museo Vasco de Historia de la Medicina y de la Ciencia,"El Museo Vasco de Historia de la Medicina y de la Ciencia inició su andadura en 1974, en l...",Museo,"UPV - EHU, Campus Leioa, Edificio de la Biblioteca Central. Sarriena auzoa",Leioa,Bizkaia,48940.0,Montes y Valles vascos,museomed@ehu.es,946 012 790,https://www.ehu.eus/es/web/basque-museum-medicine,https://turismoa.euskadi.eus/es/museos/museo-vasco-de-historia-de-la-medicina-y-de-la-ciencia/webtur00-content/es/,1.0,30.0,0.0,Historia,"43.331388394927615,-2.9689051454163384",43.331388394927615,-2.9689051454163384
Parque de los Pueblos de Europa,El Parque de los Pueblos de Europa fue inaugurado en 1991.Se trata de un hermoso y apacible lugar...,Museo,Allende Salazar s/n (junto a la Casa de Juntas de Gernika),Gernika-Lumo,Bizkaia,48300.0,Montes y Valles vascos,,,,https://turismoa.euskadi.eus/es/museos/parque-de-los-pueblos-de-europa/webtur00-content/es/,0.0,0.0,0.0,Arte,"43.3137921652142,-2.6805843796539386",43.3137921652142,-2.6805843796539386
