user_id,culture_id,puntuacion,texto,created_at
1929,10,5,"Superó todas mis expectativas, altamente recomendable.",2025-09-19 00:00:00
843,11,4,Interesante y bien presentado.,2026-04-30 00:00:00
492,11,3,Está bien pero no es para tanto.,2026-01-31 00:00:00
712,11,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2026-05-10 00:00:00
1520,11,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-05-11 00:00:00
28,11,5,,2024-03-20 00:00:00
225,11,4,,2024-12-09 00:00:00
93,11,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2024-06-03 00:00:00
82,11,5,"Increíble experiencia, volveré sin duda.",2024-03-06 00:00:00
1715,11,4,,2025-04-22 00:00:00
1410,11,4,,2025-03-06 00:00:00
949,11,4,"Muy buena visita, lo recomiendo.",2026-05-27 00:00:00
188,11,3,Interesante pero le falta profundidad en algunos temas.,2024-01-07 00:00:00
984,11,3,,2025-02-03 00:00:00
948,11,3,Interesante pero le falta profundidad en algunos temas.,2025-07-05 00:00:00
343,11,5,Personal amable y exposición excelente.,2024-08-13 00:00:00
869,11,4,,2025-05-12 00:00:00
804,11,5,,2025-11-26 00:00:00
1232,11,3,Interesante pero le falta profundidad en algunos temas.,2024-05-10 00:00:00
1927,12,3,Interesante pero le falta profundidad en algunos temas.,2025-08-29 00:00:00
1818,12,4,,2025-10-20 00:00:00
385,12,5,"Increíble experiencia, volveré sin duda.",2024-02-21 00:00:00
137,12,4,,2025-04-10 00:00:00
194,12,4,Interesante y bien presentado.,2024-10-11 00:00:00
35,12,5,Muy bien organizado y con una colección fascinante.,2026-05-04 00:00:00
179,12,4,,2025-07-06 00:00:00
1370,12,5,"Increíble experiencia, volveré sin duda.",2025-10-27 00:00:00
141,12,4,"Muy buena visita, lo recomiendo.",2026-02-11 00:00:00
639,12,4,,2026-05-09 00:00:00
1697,12,4,,2024-05-09 00:00:00
45,12,4,,2024-08-11 00:00:00
1983,13,5,,2025-01-12 00:00:00
830,13,4,"Muy buena visita, lo recomiendo.",2026-03-07 00:00:00
746,13,5,"Visita imprescindible, me encantó cada rincón.",2025-08-15 00:00:00
1555,13,5,,2025-11-24 00:00:00
682,13,2,"No cumplió mis expectativas, hay mejores opciones.",2024-03-18 00:00:00
1868,13,5,"Increíble experiencia, volveré sin duda.",2024-04-14 00:00:00
1721,13,4,,2025-12-01 00:00:00
861,13,4,,2025-08-02 00:00:00
1506,13,5,,2025-03-14 00:00:00
1514,13,5,,2025-10-25 00:00:00
197,13,5,"Superó todas mis expectativas, altamente recomendable.",2024-04-18 00:00:00
1811,13,5,"Superó todas mis expectativas, altamente recomendable.",2025-12-25 00:00:00
1013,13,5,,2025-06-18 00:00:00
1660,13,2,,2026-04-07 00:00:00
641,13,3,Interesante pero le falta profundidad en algunos temas.,2025-03-22 00:00:00
1797,13,4,"Buena experiencia en general, precio razonable.",2026-05-22 00:00:00
701,14,4,"Buena experiencia en general, precio razonable.",2025-04-06 00:00:00
227,14,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-11-15 00:00:00
280,14,5,,2026-05-21 00:00:00
1528,14,3,Visita agradable aunque algo corta.,2026-03-27 00:00:00
1236,14,5,,2025-09-02 00:00:00
194,14,4,,2024-01-11 00:00:00
161,14,4,,2024-09-04 00:00:00
1405,14,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2025-12-08 00:00:00
143,14,4,Interesante y bien presentado.,2026-03-22 00:00:00
1650,14,5,,2025-02-18 00:00:00
1414,14,4,,2025-08-18 00:00:00
157,14,4,"Buena experiencia en general, precio razonable.",2025-03-11 00:00:00
162,14,3,Visita agradable aunque algo corta.,2025-12-20 00:00:00
1975,14,3,,2024-08-24 00:00:00
749,14,4,,2024-05-02 00:00:00
742,14,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2024-07-15 00:00:00
1630,14,4,"Nos gustó mucho, pasamos una tarde estupenda.",2026-02-17 00:00:00
1988,15,4,,2024-04-12 00:00:00
145,15,5,,2025-01-04 00:00:00
1109,15,4,,2025-06-30 00:00:00
1941,15,3,,2024-02-25 00:00:00
1046,15,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2025-10-15 00:00:00
1262,15,1,Una pérdida de tiempo y dinero.,2025-08-10 00:00:00
1394,15,4,"Buena experiencia en general, precio razonable.",2024-07-07 00:00:00
912,15,2,,2025-05-04 00:00:00
1259,15,4,,2025-05-18 00:00:00
1169,15,4,"Muy buena visita, lo recomiendo.",2024-06-04 00:00:00
1809,15,5,Muy bien organizado y con una colección fascinante.,2024-03-28 00:00:00
92,15,3,,2026-02-21 00:00:00
558,15,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-08-19 00:00:00
1828,16,5,"Superó todas mis expectativas, altamente recomendable.",2024-10-31 00:00:00
1652,16,3,Visita agradable aunque algo corta.,2025-08-05 00:00:00
1905,16,4,"Muy buena visita, lo recomiendo.",2026-02-20 00:00:00
1454,16,4,,2025-11-07 00:00:00
1228,16,5,,2025-07-19 00:00:00
841,16,4,,2025-04-06 00:00:00
1872,16,5,"Visita imprescindible, me encantó cada rincón.",2024-08-25 00:00:00
1738,16,4,,2026-05-30 00:00:00
92,16,4,"Buena experiencia en general, precio razonable.",2026-03-17 00:00:00
50,16,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2025-03-11 00:00:00
1543,17,5,,2024-06-01 00:00:00
1896,17,4,"Muy buena visita, lo recomiendo.",2024-03-02 00:00:00
1706,17,5,,2026-02-05 00:00:00
491,17,5,"Superó todas mis expectativas, altamente recomendable.",2024-05-07 00:00:00
905,17,4,,2025-02-16 00:00:00
251,17,4,Interesante y bien presentado.,2025-03-24 00:00:00
1913,17,5,,2025-03-18 00:00:00
1215,17,4,"Muy buena visita, lo recomiendo.",2024-04-03 00:00:00
452,17,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-08-24 00:00:00
1346,17,3,Visita agradable aunque algo corta.,2025-08-13 00:00:00
1236,17,5,"Superó todas mis expectativas, altamente recomendable.",2025-06-15 00:00:00
716,17,5,"Increíble experiencia, volveré sin duda.",2025-08-22 00:00:00
219,17,5,"Visita imprescindible, me encantó cada rincón.",2025-04-26 00:00:00
28,18,3,,2025-11-17 00:00:00
700,18,4,,2025-02-25 00:00:00
1180,18,4,,2025-02-14 00:00:00
789,18,4,Interesante y bien presentado.,2024-03-31 00:00:00
877,18,3,,2026-03-02 00:00:00
1815,18,4,"Muy buena visita, lo recomiendo.",2025-11-04 00:00:00
697,18,2,"Decepcionante, esperaba más de este lugar.",2024-07-11 00:00:00
1029,18,5,"Superó todas mis expectativas, altamente recomendable.",2025-10-02 00:00:00
1571,18,4,,2024-09-30 00:00:00
800,18,4,Interesante y bien presentado.,2025-12-16 00:00:00
1246,18,4,,2025-10-07 00:00:00
1801,19,4,,2024-06-11 00:00:00
948,19,4,,2025-02-21 00:00:00
1337,19,4,"Muy buena visita, lo recomiendo.",2025-04-17 00:00:00
342,19,2,"No cumplió mis expectativas, hay mejores opciones.",2025-05-25 00:00:00
380,19,4,,2025-12-23 00:00:00
83,19,4,Interesante y bien presentado.,2024-09-06 00:00:00
336,19,4,,2024-07-14 00:00:00
554,19,3,Está bien pero no es para tanto.,2024-03-12 00:00:00
349,19,4,Interesante y bien presentado.,2024-12-14 00:00:00
169,19,3,"Correcto, sin más. Esperaba un poco más.",2024-10-16 00:00:00
361,20,5,Personal amable y exposición excelente.,2025-11-06 00:00:00
411,20,5,,2025-07-05 00:00:00
742,20,3,,2026-02-20 00:00:00
971,20,4,"Buena experiencia en general, precio razonable.",2024-07-12 00:00:00
1236,20,2,,2025-01-27 00:00:00
739,20,4,"Muy buena visita, lo recomiendo.",2024-11-21 00:00:00
930,20,4,Interesante y bien presentado.,2025-01-30 00:00:00
1500,20,2,"No cumplió mis expectativas, hay mejores opciones.",2025-05-22 00:00:00
72,20,3,,2025-08-27 00:00:00
502,20,4,,2026-05-15 00:00:00
1429,20,4,Interesante y bien presentado.,2024-01-16 00:00:00
1797,20,5,"Increíble experiencia, volveré sin duda.",2024-03-17 00:00:00
1026,20,5,Muy bien organizado y con una colección fascinante.,2025-09-30 00:00:00
1064,20,5,Muy bien organizado y con una colección fascinante.,2026-05-22 00:00:00
205,20,5,Muy bien organizado y con una colección fascinante.,2025-10-03 00:00:00
1076,21,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-02-06 00:00:00
1174,21,4,,2025-12-01 00:00:00
1496,21,3,"Correcto, sin más. Esperaba un poco más.",2025-03-20 00:00:00
865,21,2,"Decepcionante, esperaba más de este lugar.",2025-03-30 00:00:00
247,21,4,,2024-01-30 00:00:00
564,21,4,"Buena experiencia en general, precio razonable.",2025-01-02 00:00:00
726,21,4,,2025-06-27 00:00:00
1296,21,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2024-06-23 00:00:00
1143,21,4,Interesante y bien presentado.,2025-09-26 00:00:00
712,21,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-05-26 00:00:00
1801,22,4,Interesante y bien presentado.,2024-09-18 00:00:00
155,22,4,Interesante y bien presentado.,2024-10-21 00:00:00
1048,22,5,,2025-03-28 00:00:00
826,22,3,Visita agradable aunque algo corta.,2025-10-16 00:00:00
1966,22,4,Interesante y bien presentado.,2026-05-15 00:00:00
216,22,5,"Superó todas mis expectativas, altamente recomendable.",2024-04-19 00:00:00
802,22,5,Personal amable y exposición excelente.,2024-10-29 00:00:00
1941,22,2,,2026-04-29 00:00:00
1737,22,4,,2025-08-02 00:00:00
1638,22,2,"Decepcionante, esperaba más de este lugar.",2025-09-12 00:00:00
481,23,3,Visita agradable aunque algo corta.,2026-03-05 00:00:00
222,23,4,"Buena experiencia en general, precio razonable.",2024-08-12 00:00:00
1222,23,5,"Increíble experiencia, volveré sin duda.",2025-10-05 00:00:00
577,23,5,"Visita imprescindible, me encantó cada rincón.",2024-11-12 00:00:00
1164,23,5,,2025-01-08 00:00:00
303,23,4,,2024-10-29 00:00:00
965,23,5,"Increíble experiencia, volveré sin duda.",2024-05-15 00:00:00
1065,23,4,"Buena experiencia en general, precio razonable.",2025-06-27 00:00:00
104,23,4,,2024-06-17 00:00:00
674,23,4,Interesante y bien presentado.,2026-04-05 00:00:00
262,23,5,"Visita imprescindible, me encantó cada rincón.",2025-04-24 00:00:00
125,23,4,,2024-08-19 00:00:00
1982,23,4,Interesante y bien presentado.,2026-05-16 00:00:00
646,23,5,"Superó todas mis expectativas, altamente recomendable.",2024-01-15 00:00:00
1594,24,3,,2025-01-12 00:00:00
395,24,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-01-25 00:00:00
323,24,4,"Muy buena visita, lo recomiendo.",2025-11-22 00:00:00
324,24,5,,2025-07-28 00:00:00
1633,24,5,"Visita imprescindible, me encantó cada rincón.",2025-10-12 00:00:00
1333,24,4,"Buena experiencia en general, precio razonable.",2025-10-26 00:00:00
1046,24,5,,2024-02-08 00:00:00
717,24,3,"Correcto, sin más. Esperaba un poco más.",2024-08-28 00:00:00
1760,24,3,,2025-04-09 00:00:00
790,24,5,Personal amable y exposición excelente.,2025-03-05 00:00:00
1636,24,4,Interesante y bien presentado.,2025-11-01 00:00:00
881,24,5,"Superó todas mis expectativas, altamente recomendable.",2024-10-13 00:00:00
756,24,5,"Superó todas mis expectativas, altamente recomendable.",2025-03-31 00:00:00
1240,25,3,"Correcto, sin más. Esperaba un poco más.",2025-12-03 00:00:00
1067,25,4,"Buena experiencia en general, precio razonable.",2024-03-03 00:00:00
1794,25,5,,2024-05-05 00:00:00
1580,25,2,"Decepcionante, esperaba más de este lugar.",2025-11-09 00:00:00
296,25,4,"Muy buena visita, lo recomiendo.",2024-02-21 00:00:00
623,25,4,,2024-05-08 00:00:00
493,25,4,,2026-04-29 00:00:00
1493,25,4,,2024-08-09 00:00:00
63,25,4,,2026-03-03 00:00:00
1142,25,4,"Muy buena visita, lo recomiendo.",2024-10-10 00:00:00
1391,26,4,,2024-05-13 00:00:00
1087,26,5,"Visita imprescindible, me encantó cada rincón.",2025-11-07 00:00:00
500,26,3,,2025-01-01 00:00:00
691,26,4,,2024-11-27 00:00:00
357,26,5,,2024-05-09 00:00:00
1823,26,4,"Muy buena visita, lo recomiendo.",2025-05-02 00:00:00
1168,26,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-04-21 00:00:00
808,26,4,,2025-09-21 00:00:00
929,26,5,Personal amable y exposición excelente.,2024-11-04 00:00:00
1901,26,4,"Muy buena visita, lo recomiendo.",2025-05-05 00:00:00
301,26,4,"Muy buena visita, lo recomiendo.",2025-05-17 00:00:00
1173,26,4,"Muy buena visita, lo recomiendo.",2024-11-25 00:00:00
1014,26,5,,2024-10-08 00:00:00
1224,26,5,Muy bien organizado y con una colección fascinante.,2025-01-25 00:00:00
35,26,3,Interesante pero le falta profundidad en algunos temas.,2025-06-01 00:00:00
1751,26,4,,2025-12-19 00:00:00
1871,26,4,"Nos gustó mucho, pasamos una tarde estupenda.",2026-01-08 00:00:00
8,27,2,"No cumplió mis expectativas, hay mejores opciones.",2025-02-27 00:00:00
669,27,4,Interesante y bien presentado.,2026-01-17 00:00:00
803,27,3,Visita agradable aunque algo corta.,2025-01-18 00:00:00
1076,27,4,Interesante y bien presentado.,2024-03-09 00:00:00
1845,27,4,,2025-03-18 00:00:00
693,27,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2025-07-23 00:00:00
694,27,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-12-03 00:00:00
1480,27,4,Interesante y bien presentado.,2026-01-08 00:00:00
908,27,4,,2024-11-15 00:00:00
444,27,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2024-06-07 00:00:00
275,27,4,,2024-04-20 00:00:00
348,27,4,"Muy buena visita, lo recomiendo.",2026-02-19 00:00:00
999,27,4,,2025-03-15 00:00:00
842,27,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-09-20 00:00:00
1836,27,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-11-04 00:00:00
723,27,4,,2024-07-03 00:00:00
1162,27,5,Muy bien organizado y con una colección fascinante.,2024-12-25 00:00:00
1272,27,3,"Normal, ni mal ni especialmente bien.",2025-11-04 00:00:00
808,28,5,,2025-10-10 00:00:00
1118,28,3,,2025-06-27 00:00:00
305,28,5,Muy bien organizado y con una colección fascinante.,2024-06-10 00:00:00
357,28,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-09-02 00:00:00
1728,28,5,,2024-06-10 00:00:00
1899,28,4,,2024-03-24 00:00:00
748,28,5,"Superó todas mis expectativas, altamente recomendable.",2025-09-13 00:00:00
538,28,4,,2026-02-12 00:00:00
1292,28,5,,2024-04-23 00:00:00
823,28,5,"Superó todas mis expectativas, altamente recomendable.",2025-06-23 00:00:00
48,28,5,,2025-02-08 00:00:00
306,28,3,,2024-07-28 00:00:00
1435,28,5,,2024-05-20 00:00:00
1321,28,4,,2024-05-02 00:00:00
52,28,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2024-05-12 00:00:00
438,28,5,Personal amable y exposición excelente.,2025-07-26 00:00:00
459,28,4,"Muy buena visita, lo recomiendo.",2025-02-10 00:00:00
760,29,3,,2024-01-20 00:00:00
1181,29,4,,2024-11-16 00:00:00
531,29,4,Interesante y bien presentado.,2024-10-23 00:00:00
1251,29,5,,2024-11-28 00:00:00
825,29,5,"Superó todas mis expectativas, altamente recomendable.",2026-05-01 00:00:00
1105,29,4,Interesante y bien presentado.,2026-05-14 00:00:00
874,29,4,Interesante y bien presentado.,2025-06-20 00:00:00
588,29,4,"Buena experiencia en general, precio razonable.",2024-08-14 00:00:00
1903,29,3,,2025-06-06 00:00:00
1532,29,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2026-03-05 00:00:00
1109,30,5,"Increíble experiencia, volveré sin duda.",2024-08-29 00:00:00
1306,30,4,,2024-06-26 00:00:00
1666,30,5,"Visita imprescindible, me encantó cada rincón.",2024-06-30 00:00:00
406,30,3,Interesante pero le falta profundidad en algunos temas.,2026-02-11 00:00:00
21,30,5,Personal amable y exposición excelente.,2025-10-20 00:00:00
266,30,5,Muy bien organizado y con una colección fascinante.,2024-06-03 00:00:00
1806,30,3,Visita agradable aunque algo corta.,2026-03-26 00:00:00
1754,30,4,,2025-06-03 00:00:00
1197,30,4,"Muy buena visita, lo recomiendo.",2024-02-28 00:00:00
1204,30,4,,2025-10-22 00:00:00
781,31,4,"Nos gustó mucho, pasamos una tarde estupenda.",2025-08-31 00:00:00
577,31,4,"Nos gustó mucho, pasamos una tarde estupenda.",2026-03-21 00:00:00
712,31,5,,2026-04-09 00:00:00
1441,31,4,,2025-09-11 00:00:00
594,31,4,,2024-03-04 00:00:00
1134,31,5,Muy bien organizado y con una colección fascinante.,2026-01-01 00:00:00
952,31,4,"Muy buena visita, lo recomiendo.",2024-09-10 00:00:00
1329,31,5,Personal amable y exposición excelente.,2025-06-19 00:00:00
1880,31,4,"Buena experiencia en general, precio razonable.",2025-01-31 00:00:00
1469,31,4,,2025-09-04 00:00:00
425,31,4,"Buena experiencia en general, precio razonable.",2024-03-08 00:00:00
59,31,5,"Superó todas mis expectativas, altamente recomendable.",2024-10-17 00:00:00
522,31,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-06-02 00:00:00
1191,31,3,Está bien pero no es para tanto.,2024-12-24 00:00:00
103,31,4,Interesante y bien presentado.,2024-05-12 00:00:00
1841,32,4,"Buena experiencia en general, precio razonable.",2025-07-26 00:00:00
266,32,5,"Increíble experiencia, volveré sin duda.",2025-11-17 00:00:00
1906,32,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-04-05 00:00:00
896,32,5,Muy bien organizado y con una colección fascinante.,2024-01-19 00:00:00
364,32,5,,2024-08-07 00:00:00
1085,32,4,"Vale la pena, aunque esperaba algo más de algunos apartados.",2024-08-19 00:00:00
1753,32,3,,2024-10-29 00:00:00
1468,32,4,,2026-02-28 00:00:00
1617,32,5,Personal amable y exposición excelente.,2024-02-08 00:00:00
1321,32,4,"Nos gustó mucho, pasamos una tarde estupenda.",2024-05-14 00:00:00
1389,32,4,,2024-07-04 00:00:00
1665,33,5,"Increíble experiencia, volveré sin duda.",2026-01-08 00:00:00
73,33,5,"Increíble experiencia, volveré sin duda.",2025-03-30 00:00:00
1194,33,4,Interesante y bien presentado.,2024-08-27 00:00:00
