Unnamed: 0,Nombre,Descripcion,Dirección,Municipio,Provincia,Entorno,Email,Teléfono,WEB,URL amigable,Calidad,Tipo de lugar,Sello,Nivel precio,Michelin,Repsol,lat,lon,valoracion,num_resenas,url_imagen,Active,Patrocinado
10,Arkupe,El restaurante Arkupe se encuentra situado en un edificio del siglo XVII en el mismísimo c...,,Vitoria,Álava,Vitoria-Gasteiz,reservas@restaurantearkupe.com,945 23 00 80,https://www.restaurantearkupe.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-arkupe/webtur00-content/es/,0,Restaurante,,Caro,0,0,42.84701683,-2.67229971,4.3,2022.0,https://places.googleapis.com/v1/places/ChIJYXYAtm7CTw0Rn_rcLkiPugs/photos/Ab43m-sd6RvP5FmpS_z8_picuQHBd8k7CUpGxu5eOtEzbMx5I75M1zCF6CrbB9f9k8nw0a_9jPtLEXWZSmDPODFxs1fS7DAFOxhQjd1B6PouuZV7mLoEX-UZcDZctv7sPdfl9aBb0WP7J7C4T6fW6k3XbM-tpz84m6oOdzDnpN9ynNgEEl31tfhmhwt968flgfRzw9t5s35z1uIy47uhmKg7Tqrbs2KydPjfatb4LvHGm057yFDW7PglgUz1GACtTZQNttP6TIXaOah0zvLyWMsegdRv6JypadRWjD8597v0DTXGiE8nrfsbXxmGjZH82PdOqmQTPyG3CvR-LZ4qUnDJrlAhZ4FwCMfCj_VzsuDBKkuNLN26sSOPTNySHd8RoAttR7FgxBLhsT67cOBTfk99TNhmUxQmoArk1ZHjFewO4nwRiboC/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,1,0
11,Arlobi,"El restaurante fue inaugurado en el año 1982. Ofrece platos de la cocina tradicional, junt...",,Zuia,Álava,Montes y Valles vascos,,,,https://turismoa.euskadi.eus/es/restaurantes/restaurante-arlobi/webtur00-content/es/,0,Restaurante,,,0,0,42.968627,-2.825472200000036,4.5,38.0,https://places.googleapis.com/v1/places/ChIJFU-YO-W2Tw0Re-T-akbag1U/photos/Ab43m-t4EdaydJVjaWsK60_WbeA4VVxkXmjOnKz282O1fbr885SPevv9s2CfDrvXh5rcG77Audh_Zn1YAsTkO3ab-VamufLxRJlmMjIH7NLOX8hVlEwy_O4D6jLfpFN1FNkoAfzCwzSnIZasvOn26RL60kFvhp6AZDR1psPHJ_g_5AFniptNGpqlRZUvGtNX6UlKi6i2REXybWjv-4G-e35jbOX_Xl92jmIx9Jc5zaTi0_hwNyE5s6G-CF0NkuNvkXBemnKLWgLwkBT6iyc84EySn1OKpV3MxsoHvgWw2hr7EPTOAxeVqtIFO9Gtu_OW6hyKT_F0HgJd3_gB6oH4LfcK88sohvl2F54q7aZfCv_5T1DoxteTB8IfCFKN2btvEEppBiy-nPZl-D-1T-3Gzzz4FY-8jIhRIAiqVe53Nb1SolqsUjELIxGmCOHfdzOtW31N/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,1,0
12,Asador Nicolás,"Asador tolosarra de alto nivel gastronómico, especializado en chuleta a la parrilla.Abri&o...",,Tolosa,Guipúzcoa,Montes y Valles vascos,info@asadorcasanicolas.com,943 65 47 59,https://asadornicolas.com/,https://turismoa.euskadi.eus/es/restaurantes/asador-casa-nicolas/webtur00-content/es/,1,Asador,,Caro,0,1,43.0507807,-2.1744642,4.5,569.0,https://places.googleapis.com/v1/places/ChIJlRvtcGdLUA0RLqWgbo90Ods/photos/Ab43m-th8gpq8Wb-iBcRL7EGqrO0LotUGRA0EnuPIgaPhN4_FJLTQsh3jbZr93Y4ewsZ38e6Hv5b9fz2OPurMR5yWFmFWyvQdcKOPPQhvnmBM57HvHSN1B3CfcsIfcpaHPRYxNOBRubqVfa3BNcKu8T2UAaY2XXBkXZ-EFA1xQ8g0nRsO-pVlw0g0sxAt9d0aLz1r8PugZ29UlRhBmyI3B1RbPGY3Xv1s2euYCQh3qFg2VtSbb5xMyozSWNYRZrMHa1BkAWljn5jeZko1f2wZpv9O4Z1Bqx3ICtfxVnij_1c1v22R_q_oLGoIJi58i3Zp7Vn-sCBQr4HVPrDO7hgY14NmmkDu3p1PS-qnej4e6W2X9ChMi5uoPvuwSUASoFvmuBghDoIVj-bqnR9Gur1roUtPamytj2XrInSEK4Ird1XPboIKYq6vrzNF0NU0qSR9A/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,1,0
13,San Martin,Asador situado en el barrio San Martín y con vistas a la playa. Dispone de una carta varia...,,Orio,Guipúzcoa,Costa Vasca,info@asadorsanmartin.com,943 58 00 58,https://www.asadorsanmartin.com/,https://turismoa.euskadi.eus/es/restaurantes/asador-san-martin/webtur00-content/es/,0,Asador, Postres,Moderado,0,0,43.28076707095564,-2.121294736862183,4.6,1735.0,https://places.googleapis.com/v1/places/ChIJzbXBPbK3UQ0RVOrWk6rbO0Y/photos/Ab43m-uCJ06VmUM9v3emLfsahf7_UDFac7tGrv0OnRJ2B2deMOXVEgQ5IqmDNSqCTQYP1nQP4_ny-pi81_XlkztMRdobEAxu9PLQXfC1RKO6GO_XUOEoSYS-CP_bngDgtA3katVG97m2d_gA8x76SmWghBTsrsHk7qCe4_6hGwfsERkVTITpPxqrIhyOo9xGd-W6Udc4GYs6X41rcdeV-KWXdYm_EUuczkMiRYoAYkMqtgTWddzVcOE1VqjUYkZLr_dHomP65jPubSY-yR5W6u-2fTBYVSe7mWQ4c8TymhaETCoExmPDXYvmvZAF_Ne_kvXGGni45jeEa-e2owB-t9BTjib2RpuepXg1Gbg0Y-pNKj8-is5fKcvjIJ2wV676JFC4vIppcpJQVR5JvQkBa6vZLPWt3leDXWa1bA9kMxJXZKPzeA/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,1,0
14,Urkiola,En el asador Urkiola ubicado en Beasain podremos degustar carnes y pescados de gran calidad con u...,,Beasain,Guipúzcoa,Montes y Valles vascos,,943 08 61 31,,https://turismoa.euskadi.eus/es/restaurantes/asador-asador-urkiola/webtur00-content/es/,1,Asador,,Caro,0,0,43.04729034,-2.19531265,4.5,197.0,https://places.googleapis.com/v1/places/ChIJAVCF9O82UA0RKaLYDsBxirY/photos/Ab43m-tECiP8y9b8Ba59I8AmsRs1uMrMBiUMVeGbXukaIfvsSkPjd0M0iGdA5FoypbcAuwnq2p_mpSS8edf7_yYyvnliRQs7VkceyCiYwgJA7REumqFnRdT1kt4fvynCvPxUJLW1hS11alTrQY6OuHoMOgyOPY1PMgVLTwdeAzN5-FyTNrvULhmAIdEEGKY6mQIZUvR4nzOr6tEr3sI-qevUpxvLSHzWTjpKOTUY3cLfyOXHi2rfOrnuJVxow3DtLSmIPVnSq1PC58gEuFeCl_WpYOxCTUR3kFtuHeC7Xs42cZZ3unLU9E2s7qmFmkrR2-oCkUiqheJUkmX4261vNn-DG1s4x6wbLFQP3u8346XBk_PLzizpZQ88alNIh8Xh_xmCof8O9y-30AzeOXV8_xB_ksZxJaLVVNvFNa0B-4YZsgWEt9pUQR6ayhiVJ95ZgA/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,1,0
15,Astelena,Está ubicado en la parte vieja de San Sebastián y ofrecen cocina vasca moderna.Ande...,,San Sebastián,Guipúzcoa,"Costa Vasca,San Sebastián",info@restauranteastelena.com,943 42 58 67,https://restauranteastelena.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-astelena/webtur00-content/es/,1,Restaurante,,Caro,0,0,43.32415624,-1.98247745,4.6,1589.0,https://places.googleapis.com/v1/places/ChIJ19jyY06lUQ0RlT7izQh1XdU/photos/Ab43m-upn9TAmQyGmKtc2joU_SazJTsA1fkS1cBCwM8tPU-6BMPRaVxdeYU0GFU26IENN8EMtn56GcdEUdUNA0nLsWHs7d0m8DmyIJv-NcQ2PbenQ9OfuZFcpKDl5IQ7L8ypzDcO_NHMZ1Fc_L53EF8Yf7glthi-R6Yrhlz93imDu88DQg_6QVzA6WbfLBZh14SHHAvVHVrVpM5A_qmK62YqHnVnTwpq9U9e1tugFsOD7VP04u4ACMws2SLpa0-SoQ8VokTTCKhas_E-boqbJMiAT9lWdUuLF4Wralti1jAvPY0k6hn_xoxMCaQ_aVVhACxaIpH-pXyQDgd7xsCg2tcIjQrxrL-vVT_e5_IqhveUdaf0DFjNPCDRieWaCGcdY1FXwSRIbVE1iFkpFMSuwQ3Y4AN1iT2nAhHBZ63P1ye1ACScIZTB/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,1,0
16,Atalaia,Dispone de una bodega para acompañar cada plato con el vino que corresponda. La carta est&...,,Irun,Guipúzcoa,Costa Vasca,info@hotelatalaia.com,943 63 55 18,https://hotelatalaia.com/restaurante,https://turismoa.euskadi.eus/es/restaurantes/restaurante-atalaia/webtur00-content/es/,1,Restaurante,,,0,0,43.32238144,-1.83356007,4.6,806.0,https://places.googleapis.com/v1/places/ChIJvUOobvQIUQ0RWRF51_BS7wY/photos/Ab43m-vAqiuHCEgqHH1q2Ex-Jp5rfANTJT1bOWHHHB97FyKidfEyTHt23P4Y_1yZK358bF2drYkRuPDWlh0ETdhJBsGTRTvjBqiO9vdNn-hR93TpyD2TJ4coqBe_n1wX5L380NB9KYN4DiZxX3S0qScQZ4ycrLH2S6UYBHo12EnZHc31JjY67SfEwUyG_gbe1D3jfUSUlt8e7e9gL0tiFnJjuNR_TsHwKAmp4x9xPz88Zavxn0GORFkJ1oGYcqYZpYT2iyc6EQshvWCpmRnvoDkyZXMEwt9UKTvDvbs7xjWnxgioBg9QzcpE971l2RBZq62ITB2jW3g3l4Ky9DUgx08Vs5mBmBYeu8RqOFl4Dfz6V0e6oWkTBp9-YcZFMqvbbEdPdaC7qiUlXxg5LeHNlM-THdZbxuH3J4S3XTnafnrve7M/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,1,0
17,Azkue,"Los fogones del Restaurante Azkue, en su cuarta generación, esmeran su trabajo para poder ...",,Getaria,Guipúzcoa,Costa Vasca,,943 83 05 54,https://hotelazkue.com/restaurante.php,https://turismoa.euskadi.eus/es/restaurantes/restaurante-azkue/webtur00-content/es/,0,Restaurante,,,0,0,43.28657468,-2.20608351,4.2,398.0,https://places.googleapis.com/v1/places/ChIJ5YcUkcTIUQ0Ro9hhZEgs40M/photos/Ab43m-truf5DRVsmxmnWoYihNSmUefU56NphlJLvSMQN-tlNXTRMAHVjRgF5Dfde-163Eu-EOq-2zm5YWJnW5uoH8hBZTGohQssc3hQYjs9DZSOOeN1T_PFgS_lQL2NsNSHik6eTV5c2wAnt2_yQBqtnfxe6Wdd02U2aeUDXWScc3uNn-kMZb8Fm9DYT0OQstJiaodNFh_pjssDqJMlC1KUGYQMF9xNfS2slVrA-1RZbdXreEvr8uAD-6wUoPVis9qdaY-Sls9q_i1gHQfNt-y8PrdA3qgmHVnMNTYB5M2B1sDXMRkUHXgv0Ykq3ovE08tK8eOBoXm-W9CWQBjDm2JE_L2DMlp8pXix9PPtiY0gg3LlumxhklOus-ekcIRqncpbOEplzNBGmfa1vZ3o3m7XZI9aqgajvrtK20IJZiZQ9J12chIY6wZ-1GuJKUZRmji-p/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,1,0
18,Azurmendi,"Azurmendi está ubicado en un bello paraje y rodeado de verde.La cocina de su cocinero, Ene...",,Larrabetzu,Vizcaya,Montes y Valles vascos,info@azurmendi.biz,944 55 83 59,https://azurmendi.restaurant/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-azurmendi/webtur00-content/es/,1,Restaurante,,Muy caro,1,1,43.26057330760114,-2.815940000327153,4.7,1899.0,https://places.googleapis.com/v1/places/ChIJCeEOclRITg0R_hLIpCMim5A/photos/Ab43m-uSe8BO93TgzLkjFT1sfEQAge9YwgLH3DV8ya8WBlupusYidowk93qNS7Cwlb-AVdO-zGhJapncmyV-p3vRxiIRgp5Dd9rESjYA6CPczGkajt6J9hxqKmDCztGQPnZ-eAbwdcAXP1LfKVhadYK1UNYXHhlyc7OfwCiL_1pem_RQvU-QnJC1n-aFgOB09ZtlGpuzmDGAkEqRTuHfB4Dujo9E2FxuJ290fpaRV7RuMNbmKPqTcgt2L1p4U9OQKCdpU9BCDif8gNXu6Lnc0tXviduA_vn7gm26GmWB6LEDqkeNB2159FeG8Njr-361vehEL-9MgC3tyZBQ7yQSBTTVY1L39GZz_kGCGKBXsdT2bu3wdintuwFcgOopKhQYzKzjTZNnO8wgqTJuaqt9jpGXc3hIJz4EGaizrugG5HQACJyIkQ/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,1,0
19,Baserri Maitea,"Ubicado en un hermoso caserío del siglo XVIII sobre la Reserva de Urdaibai, ofrece una coc...",,Forua,Vizcaya,"Costa Vasca,Montes y Valles vascos",baserrimaitea@baserrimaitea.com,946 25 34 08,https://www.baserrimaitea.com/,https://turismoa.euskadi.eus/es/restaurantes/restaurante-baserri-maitea/webtur00-content/es/,0,Restaurante,,Caro,0,1,43.339609,-2.680343,4.6,1243.0,https://places.googleapis.com/v1/places/ChIJkQB7Wso7Tg0R6qtePIoTbuY/photos/Ab43m-skqOG1sKuGupzklTk5rPEcxk8b7giss8ivN--LAFd9xfj0zrxhg36jD3lpVWizjc9FgWuoJxKnwk9EubblibgZ32_Qx9BNPEYQTNB_Vduq0a_XExYZWjPkwuJAEyGAUqBNSFrRkBvOeDXoj5el7jL7cGe4gYNaxYsvAQLSc6b1Zk9K_TDhWdn1JAb84SLokClNy5e_1b4BVH4PhyJQGBxHhSWxqbJHE3uZfwtta2F-Rfw-oY95mDrsRpWeyOU2n3dmo0qnj8X7DTCUlD1pUDBonrA6pmphhOalrLJrRpIt3MC5_0rZNSo_tahXHA0Jk-JqYfcAAaIUdx8Dk8tflKN6f8Y2vram-MG9RVDqPRh4Y7IHXi4btfT2G35UK5IGo0JXVhcdpvnVlYBwsah8kIUWg2IHhrNI46HCqpUzOACBzi4/media?maxWidthPx=800&key=AIzaSyDWgmDy7HFRh3_Yg8_aqK0K00Ibo52WFC4,1,0
