documentname,documentdescription,locality,marks,municipality,friendlyurl,tourismemail,web,productclub,buytype,qualityassurance,lon,lat,provincia
Izarri,,Getaria,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/pastelerias-y-confiterias/izarri/webtur00-content/es/,,http://www.izarri.com,1,Denominación de Origen,,-2.204071,43.303398,Gipuzkoa
Jakion,"Empresa creada con la intención de recuperar, potenciar y fortalecer la actividad agraria de los ...",Leintz-Gatzaga,Montes y Valles vascos,Leintz Gatzaga,https://turismoa.euskadi.eus/es/conserveras/jakion/webtur00-content/es/,,http://www.jakion.es,1,Euskal Baserri,,-2.567927,42.98652,Gipuzkoa
"Lactea De Balmaseda, S.L.",,Balmaseda,Montes y Valles vascos,Balmaseda,https://turismoa.euskadi.eus/es/queserias/lactea-de-balmaseda-sl/webtur00-content/es/,,,1,Eusko Label,,-3.206635,43.207178,Bizkaia
Larrañaga Gozotegia,Repostería  tradicional. De su obrador salen los ríquisimos rellenos y tostones de Bergara,Bergara,Montes y Valles vascos,Bergara,https://turismoa.euskadi.eus/es/pastelerias-y-confiterias/larranaga-gozotegia/webtur00-content/es/,,,1,Denominación de Origen,1,-2.412943,43.116464,Gipuzkoa
Mujika Gozotegia,Repostería  tradicional. De su obrador salen los ríquisimos rellenos y tostones de Bergara,Bergara,Montes y Valles vascos,Bergara,https://turismoa.euskadi.eus/es/pastelerias-confiterias/mujika-gozotegia/webtur00-content/es/,,,1,Denominación de Origen,,-2.412884,43.117823,Gipuzkoa
Muñagorri Harategia/Carnicería,Euskadiko Txistorra Txapelketan irabazle.,Tolosa,Montes y Valles vascos,Tolosa,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/munagorri-harategia-carniceria/webtur00-content/es/,,http://www.munagorriharategia.com,1,Postres,,-2.0736247,43.1379181,Gipuzkoa
Borda,,Olaberria,Montes y Valles vascos,Olaberria,https://turismoa.euskadi.eus/es/productores-alimentos-bebidas/borda/webtur00-content/es/,info@borda.eus,http://www.borda.eus,1,Agricultura Ecológica,,-2.198776,43.023071,Gipuzkoa
Casa Aramendia,Pastelería artesana en el centro de Errenteria.,Errenteria,Montes y Valles vascos,Errenteria,https://turismoa.euskadi.eus/es/pastelerias-y-confiterias/casa-aramendia/webtur00-content/es/,info@aramendiapasteleria.com,http://www.aramendiapasteleria.com,1,Denominación de Origen,,-1.900121,43.31334,Gipuzkoa
Chocolates de Mendaro-Saint Gerons,Elaboración artesanal de chocolate desde 1850. Molino y el obrador original,,Montes y Valles vascos,Mendaro,https://turismoa.euskadi.eus/es/pastelerias-y-confiterias/chocolates-de-mendaro-saint-gerons/webtur00-content/es/,,https://www.chocolatesdemendaro.com/,1,Agricultura Ecológica,1,-2.388475,43.253689,Gipuzkoa
Chocolates de Mendaro-Saint Gerons,,,Montes y Valles vascos,Mendaro,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/chocolates-de-mendaro-saint-gerons/webtur00-content/es/,,www.chocolatesdemendaro.com,1,Postres,1,-2.388475,43.253689,Gipuzkoa
"Conservas Zallo, S.A.",,Bermeo,Costa Vasca,Bermeo,https://turismoa.euskadi.eus/es/conserveras/conservas-zallo-sa/webtur00-content/es/,,http://www.zallo.com,1,Euskal Baserri,1,-2.736355,43.421395,Bizkaia
Divino,Divino es la vinoteca muy peculiar situada en el centro del pueblo de Leza: una bodega con los ca...,Leza,Rioja Alavesa,Leza,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/divino/webtur00-content/es/,,http://divinoleza.wix.com/vinotecadivino,1,Postres,,-2.634788,42.565819,Araba/Álava
Eceiza,Creadores de las tejas y cigarrillos de Tolosa.,Tolosa,Montes y Valles vascos,Tolosa,https://turismoa.euskadi.eus/es/pastelerias-confiterias/eceiza/webtur00-content/es/,eceiza@eceiza.eus,https://eceiza.eus/,1,Denominación de Origen,,-2.073628,43.139395,Gipuzkoa
Etxeandia Garardauak,Fábrica de cerveza artesanal que elabora cervezas especiales.,,Montes y Valles vascos,Urduliz,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/etxeandia-garardauak/webtur00-content/es/,info@etxeandia.eus,https://www.etxeandia.eus/,1,Agricultura Ecológica,,-2.964538,43.382334,Bizkaia
Baias Garagardotegia,,Oiardo,Montes y Valles vascos,Urkabustaiz,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/baias-garagardotegia/webtur00-content/es/,cervezabaias@gmail.com,https://baiasgaragardotegia.com/,1,Agricultura Ecológica,,-2.9283043629516214,42.98981403217266,Araba/Álava
Quesería Atxeta,,Oleta,Montes y Valles vascos,Aramaio,https://turismoa.euskadi.eus/es/queserias/queseria-atxeta/webtur00-content/es/,info@atxetagazta.com,https://www.atxetagazta.com/,1,Eusko Label,1,-2.631869,43.046507,Araba/Álava
Quesería Isusi Anaiak,,Sodupe,Montes y Valles vascos,Güeñes,https://turismoa.euskadi.eus/es/queserias/queseria-isusi-anaiak/webtur00-content/es/,,,1,Eusko Label,,-3.045788,43.203049,Bizkaia
Salanort,,Getaria,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/salanort/webtur00-content/es/,tienda.getaria@salanort.com,https://www.salanort.com/es/,1,Postres,1,-2.203829,43.303865,Gipuzkoa
San Martin,Tienda de productos Gourmet de la tierra y de fuera,Beasain,Montes y Valles vascos,Beasain,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/san-martin/webtur00-content/es/,,,1,Postres,,-2.197759,43.046797,Gipuzkoa
Tolosako Babarrun Elkartea,,Tolosa,Montes y Valles vascos,Tolosa,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/tolosako-babarrun-elkartea/webtur00-content/es/,,http://www.alubiasdetolosa.com,1,Agricultura Ecológica,,-2.0846303031798925,43.133336259202025,Gipuzkoa
Txoko Sagarna,"Txoko Sagarna es un pequeño restaurante, una tienda, un lugar de encuentro donde se pueden...",,Montes y Valles vascos,Zeanuri,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/txoko-sagarna/webtur00-content/es/,,,1,Postres,,-2.74985181157831,43.09806643307682,Bizkaia
Txokolateixia,Tienda gourmet de chocolates,Oñati,Montes y Valles vascos,Oñati,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/txokolateixia/webtur00-content/es/,txokolateixia@hotmail.com,https://onatiturismo.eus,1,Postres,,-2.411918,43.032067,Gipuzkoa
Ugalde,Vinoteca de productos locales y de fuera,Ordizia,Montes y Valles vascos,Ordizia,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/ugalde/webtur00-content/es/,,http://www.bebidasugalde.com/,1,Postres,,-2.183264,43.053453,Gipuzkoa
Unanue,,Ordizia,Montes y Valles vascos,Ordizia,https://turismoa.euskadi.eus/es/pastelerias-confiterias/unanue/webtur00-content/es/,,http://www.unanuegozotegia.net,1,Denominación de Origen,,-2.17902282698365,43.0539705523396,Gipuzkoa
"Urdapilleta, Euskal Txerria",Es una raza de cerdo autóctono: Euskal Txerria.,Bidania,Montes y Valles vascos,Bidania-Goiatz,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/urdapilleta-euskal-txerria/webtur00-content/es/,,http://www.urdapilleta.eu,1,Agricultura Ecológica,,-2.175254,43.129256,Gipuzkoa
Zerain Herriko Denda,Tienda de productos Gourmet de la tierra y artesanía,Zerain,Montes y Valles vascos,Zerain,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/zerain-herriko-denda/webtur00-content/es/,,http://www.zerain.eus,1,Postres,,-2.273313,43.012376,Gipuzkoa
Olano,,Beasain,Montes y Valles vascos,Beasain,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/olano/webtur00-content/es/,,,1,Postres,,-2.1964744490737758,43.0472845947227,Gipuzkoa
Ondarre,Queseria tradicional y museo en la que se puede ver también las ovejas,Segura,Montes y Valles vascos,Segura,https://turismoa.euskadi.eus/es/queserias/ondarre/webtur00-content/es/,,http://www.nekatur.net/ondarre,1,Eusko Label,,-2.253013,43.012728,Gipuzkoa
Ondarre Denda,Tienda de productos Gourmet de la tierra y de fuera,Segura,Montes y Valles vascos,Segura,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/ondarre-denda/webtur00-content/es/,,,1,Postres,,-2.252584,43.008852,Gipuzkoa
Otatza,,Zaldibia,Montes y Valles vascos,Zaldibia,https://turismoa.euskadi.eus/es/queserias/otatza/webtur00-content/es/,,,1,Eusko Label,,-2.131047,43.040054,Gipuzkoa
Aitor Lasa Gaztategia,"La mayor selección de quesos artesanos, hongos, setas silvestres y otros productos autóctonos y n...",Donostia / San Sebastián,"Costa Vasca,San Sebastián",Donostia / San Sebastián,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/aitor-lasa-gaztategia/webtur00-content/es/,,http://www.aitorlasa.com,1,Postres,,-1.9824143,43.323669,Gipuzkoa
Basazabal,,Zerain,Montes y Valles vascos,Zerain,https://turismoa.euskadi.eus/es/queserias/basazabal/webtur00-content/es/,,,1,Eusko Label,,-2.288654,42.997099,Gipuzkoa
Baztarrika,Queseria tradicional y museo en la que se puede ver también las ovejas,Gabiria,Montes y Valles vascos,Gabiria,https://turismoa.euskadi.eus/es/queserias/baztarrika/webtur00-content/es/,,https://baztarrika.com/,1,Eusko Label,,-2.2851,43.048059,Gipuzkoa
Aldeko Eztia,Productor de miel que ofrece visitas a su pequeña explotación de abejas.,Uribarri | Diseminado,Montes y Valles vascos,Aramaio,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/aldeko-eztia/webtur00-content/es/,,,1,Agricultura Ecológica,1,-2.5759947999999895,43.0399106,Araba/Álava
Amona María,,Getaria,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/amona-maria/webtur00-content/es/,info@amonamaria.com,http://www.amonamaria.com,1,Postres,,-2.203157,43.304917,Gipuzkoa
Aranburu,Queseria tradicional elaboradora de queso Idiazabal,Idiazabal,Montes y Valles vascos,Idiazabal,https://turismoa.euskadi.eus/es/queserias/aranburu/webtur00-content/es/,jesus@quesosaramburu.com,http://quesosaranburu.com/,1,Eusko Label,,-2.231324,43.015595,Gipuzkoa
Aroa,,Getaria,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/aroa/webtur00-content/es/,info@aroasc.com,http://kostaaroa.com,1,Agricultura Ecológica,,-2.2149612209015004,43.30248468642541,Gipuzkoa
Conservas Artesanas Victofer,,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/conservas-artesanas-victofer/webtur00-content/es/,,http://www.victofer.com,1,Postres,,-2.6705981000000065,42.8478921,Araba/Álava
Delicatessen La Blanca,,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/delicatessen-la-blanca/webtur00-content/es/,,http://www.delicatessenlablanca.com,1,Postres,,-2.697830299999964,42.8417181,Araba/Álava
Martin's Bodega,,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/martins-bodega/webtur00-content/es/,,http://www.martinsbodega.com,1,Postres,,-2.6715712000000167,42.849949,Araba/Álava
Toloño Selección,,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/tolono-seleccion/webtur00-content/es/,info@tolonoseleccion.com,https://www.tolonoseleccion.com/,1,Postres,,-2.671639766864814,42.84698121418929,Araba/Álava
Exclusivas Rioja Alavesa,,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/exclusivas-rioja-alavesa/webtur00-content/es/,,http://www.todoslosvinos.com,1,Postres,,-2.6804248999999345,42.8492447,Araba/Álava
Adarrazpi Gaztandegia,,Urnieta,Montes y Valles vascos,Urnieta,https://turismoa.euskadi.eus/es/queserias/adarrazpi-gaztandegia/webtur00-content/es/,,http://www.basquecooltour.com,1,Eusko Label,,-1.9825199206237585,43.23104658671305,Gipuzkoa
Pastelería Sosoaga,"La pastelería López Sosoaga, abierta en 1868 por dicha familia, es una de las tiendas de reposter...",Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,https://turismoa.euskadi.eus/es/pastelerias-confiterias/pasteleria-sosoaga/webtur00-content/es/,,http://www.sosoaga.com,1,Denominación de Origen,,-2.6682330153441853,42.84288603321987,Araba/Álava
Pastelería La Peña Dulce,La Peña Dulce es una de las pastelerías de mayor renombre y tradición en Vitoria-Gasteiz que elab...,Vitoria-Gasteiz,Vitoria-Gasteiz,Vitoria-Gasteiz,https://turismoa.euskadi.eus/es/pastelerias-confiterias/pasteleria-la-pena-dulce/webtur00-content/es/,,,1,Denominación de Origen,,-2.6730020999999624,42.8518655,Araba/Álava
Azkarra,,Galarreta,Montes y Valles vascos,San Millán/Donemiliaga,https://turismoa.euskadi.eus/es/queserias/azkarra/webtur00-content/es/,,http://www.azkarra.com,1,Eusko Label,,-2.362306542483566,42.898561809902844,Araba/Álava
La Leze,,Ilarduia,Montes y Valles vascos,Asparrena,https://turismoa.euskadi.eus/es/queserias/la-leze/webtur00-content/es/,,http://www.quesoslaleze.com,1,Eusko Label,,-2.2783141473632895,42.87919112317122,Araba/Álava
Olano,,Egino,Montes y Valles vascos,Asparrena,https://turismoa.euskadi.eus/es/queserias/olano/webtur00-content/es/,garazi_92@hotmail.com,https://euskadigastronomika.eus/es/sat-olano-eginoko-artaiza,1,Eusko Label,1,-2.264889267736862,42.87040767862672,Araba/Álava
Egaña Gozotegia,,Azpeitia,Montes y Valles vascos,Azpeitia,https://turismoa.euskadi.eus/es/pastelerias-confiterias/egana-gozotegia/webtur00-content/es/,,http://www.eganagozotegia.com,1,Denominación de Origen,,-2.2663297000000284,43.1836782,Gipuzkoa
Martina Zuricalday,,Bilbao,Bilbao,Bilbao,https://turismoa.euskadi.eus/es/pastelerias-confiterias/nietos-martina-zuricalday/webtur00-content/es/,,http://www.martinazuricalday.com,1,Denominación de Origen,,-2.9434962209014657,43.25890739537988,Bizkaia
La Catedral de la Cerveza,,Bilbao,Bilbao,Bilbao,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/la-catedral-de-la-cerveza/webtur00-content/es/,,http://www.lacatedraldelacerveza.com,1,Postres,,-2.9245914392868144,43.25701275898576,Bizkaia
MAISOR,,Getaria,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/maisor/webtur00-content/es/,,http://www.maisor.com,1,Postres,1,-2.202256900000066,43.3059708,Gipuzkoa
Done Pedro,,,Costa Vasca,Hondarribia,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/done-pedro/webtur00-content/es/,,http://www.donepedro.com/,1,Postres,,-1.7929527000000007,43.3663171,Gipuzkoa
Vinoteca Mendibil,,Irun,Montes y Valles vascos,Irun,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/vinoteca-mendibil/webtur00-content/es/,,http://www.vinotecamendibil.com/,1,Postres,,-1.7938841999999795,43.3412648,Gipuzkoa
Zurikaldai,,Algorta,Costa Vasca,Getxo,https://turismoa.euskadi.eus/es/pastelerias-confiterias/zurikaldai/webtur00-content/es/,zurikaldaineguri@gmail.com,https://pasteleriaszuricalday.es/,1,Denominación de Origen,,-3.0072710558197286,43.34037902674467,Bizkaia
Charcuteria Prost,,Algorta,Costa Vasca,Getxo,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/charcuteria-prost/webtur00-content/es/,,,1,Postres,,-3.010551866235801,43.35182798435188,Bizkaia
Exquissitum Gourmet,,Areeta/Las Arenas,Costa Vasca,Getxo,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/exquissitum-gourmet/webtur00-content/es/,,http://www.exquissitum.com,1,Postres,,-3.0153412134918653,43.325896992759034,Bizkaia
La Granja Selección,,Areeta/Las Arenas,Costa Vasca,Getxo,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/la-granja-seleccion/webtur00-content/es/,,http://www.lagranjaseleccion.es,1,Postres,,-3.015382072387297,43.32543464633467,Bizkaia
Bodega Arzabro,,Delika,Montes y Valles vascos,Amurrio,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/bodega-arzabro/webtur00-content/es/,,http://www.arabakotxakolina.com,1,Agricultura Ecológica,1,-2.988702339147949,42.9689718957496,Araba/Álava
Petritegi Sagardotegia,,Astigarraga,Montes y Valles vascos,Astigarraga,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/petritegi-sagardotegia/webtur00-content/es/,,http://www.petritegi.com,1,Agricultura Ecológica,1,-1.9409502502624036,43.290468075060936,Gipuzkoa
Crosta,,Mimetiz,Montes y Valles vascos,Zalla,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/crosta/webtur00-content/es/,,,1,Agricultura Ecológica,,-3.1330184772460825,43.21372586530103,Bizkaia
Hermanos Fernández Terreros - C.B. La Sequilla,,,Montes y Valles vascos,Muskiz,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/fernandez-terreros-la-sequilla/webtur00-content/es/,,,1,Agricultura Ecológica,,-3.132412199999976,43.3215522,Bizkaia
Laugar Brewery,,,Montes y Valles vascos,Gordexola,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/laugar-brewery/webtur00-content/es/,info@laugarbrewery.com,https://www.laugarbrewery.com/,1,Agricultura Ecológica,,-3.0615745079345515,43.18381960352104,Bizkaia
Quesería Vista Alegre,,Matienzo,Montes y Valles vascos,Karrantza Harana/Valle de Carranza,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/queseria-vista-alegre/webtur00-content/es/,,http://www.vistaalegrebaserria.com,1,Agricultura Ecológica,,-3.386813386230415,43.23942599227105,Bizkaia
Olano,,,Montes y Valles vascos,Beasain,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/olano/webtur00-content/es/,,,1,Agricultura Ecológica,,-2.196494847850431,43.04728928106629,Gipuzkoa
Momotegi,,,Montes y Valles vascos,Oiartzun,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/momotegi/webtur00-content/es/,,http://www.momotegi.com,1,Agricultura Ecológica,,-1.8025943404754798,43.28898257568333,Gipuzkoa
Amador García,,Baños de Ebro/Mañueta,Rioja Alavesa,Baños de Ebro/Mañueta,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/amador-garcia/webtur00-content/es/,,http://www.bodegasamadorgarcia.com,1,Agricultura Ecológica,,-2.6761824711638837,42.53054387179633,Araba/Álava
Luis Alegre,,,Rioja Alavesa,Laguardia,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/luis-alegre/webtur00-content/es/,,http://www.luisalegre.com,,Agricultura Ecológica,,-2.5880700647430785,42.55202576960105,Araba/Álava
Inazio Urruzola Txakolina,,,Montes y Valles vascos,Alkiza,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/inazio-urruzola-txakolina/webtur00-content/es/,,http://www.inaziourruzola.eus,1,Agricultura Ecológica,,-2.10110251349181,43.16906195010297,Gipuzkoa
Txumitxa Ibarrako Piparrak,,,Montes y Valles vascos,Ibarra,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/txumitxa-ibarrako-piparrak/webtur00-content/es/,,http://www.txumitxa.com,1,Agricultura Ecológica,,-2.06641903558193,43.13217004065376,Gipuzkoa
Helados Italianos Gelati,,,Montes y Valles vascos,Maruri-Jatabe,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/helados-italianos-gelati/webtur00-content/es/,,http://www.gelatigelati.com,1,Agricultura Ecológica,,-2.8678600000000642,43.41107,Bizkaia
Akarregi Txiki Txakolindegia,,,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/akarregi-txiki-txakolindegia/webtur00-content/es/,,http://www.akarregitxiki.com,1,Agricultura Ecológica,,-2.2100029079956585,43.30239356707735,Gipuzkoa
Bodega Katxina Txakolindegia,,,Costa Vasca,Orio,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/bodega-katxina-txakolindegia/webtur00-content/es/,,http://www.bodegakatxina.com,1,Agricultura Ecológica,,-2.1078292872803104,43.27856779095345,Gipuzkoa
Elkano Txakolindegia,,Eitzaga | Diseminado,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/elkano-txakolindegia/webtur00-content/es/,,http://www.txakolielkano.com,1,Agricultura Ecológica,1,-2.190658816580253,43.28922811149381,Gipuzkoa
Gaintza Txakolindegia,,San Prudentzio | Diseminado,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/productores-alimenticios-bebidas/gaintza-txakolindegia/webtur00-content/es/,,http://www.hotelgaintza.com,1,Agricultura Ecológica,1,-2.210601530719032,43.30291829196814,Gipuzkoa
La Despensa de la Abuela,,Artziniega,Montes y Valles vascos,Artziniega,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/la-despensa-de-la-abuela/webtur00-content/es/,,http://www.ladespensadelabuela.com,1,Postres,,-3.1238662159385058,43.12296848572858,Araba/Álava
Maritierra,,Amurrio,Montes y Valles vascos,Amurrio,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/maritierra/webtur00-content/es/,,,1,Postres,,-3.0026479644179744,43.05180572009234,Araba/Álava
"Hermanos Fernández Terreros, C.B.",,,Montes y Valles vascos,Muskiz,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/hermanos-fernandez-terreros/webtur00-content/es/,,http://www.artecarne.com,1,Postres,,-3.1227486177909896,43.32252419736943,Bizkaia
Altube,,Altube | Diseminado,Montes y Valles vascos,Zuia,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/hotel-altube/webtur00-content/es/,,http://www.hotelashotelesaltube.com,1,Postres,,-2.8694385539672567,42.966781793513405,Araba/Álava
Barriola Harategia,,Ibarra,Montes y Valles vascos,Ibarra,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/barriola-harategia/webtur00-content/es/,,http://www.barriola.eus,1,Postres,,-2.069453835581953,43.13337069834083,Gipuzkoa
Idoia Ardotegia,,Zumaia,Costa Vasca,Zumaia,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/idoia-ardotegia/webtur00-content/es/,,,1,Postres,,-2.2553891687172154,43.29815186468744,Gipuzkoa
Odriozola Ardoak,,Zumaia,Costa Vasca,Zumaia,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/odriozola-ardoak/webtur00-content/es/,,http://www.odriozolazumaia.com,1,Postres,,-2.2534420188659396,43.29235065578308,Gipuzkoa
Omago Helados,,Gernika-Lumo,Montes y Valles vascos,Gernika-Lumo,https://turismoa.euskadi.eus/es/bares-de-pintxos/omago-kafetegia/webtur00-content/es/,f.omago@gmail.com,,1,Agricultura Ecológica,,-2.678808668261695,43.30775031957828,Bizkaia
Panadería Echebarria,,Murgia,Montes y Valles vascos,Zuia,https://turismoa.euskadi.eus/es/pastelerias-y-confiterias/panaderia-echebarria/webtur00-content/es/,,,1,Agricultura Ecológica,,-2.8209268220900867,42.95635685018162,Araba/Álava
Ibáñez-Gozona,,Tolosa,Montes y Valles vascos,Tolosa,https://turismoa.euskadi.eus/es/pastelerias-y-confiterias/ibanez-gozona/webtur00-content/es/,,,1,Denominación de Origen,,-2.073319131282801,43.139896698337715,Gipuzkoa
Saizar,,Tolosa,Montes y Valles vascos,Tolosa,https://turismoa.euskadi.eus/es/pastelerias-y-confiterias/saizar/webtur00-content/es/,,,1,Denominación de Origen,,-2.080294796958924,43.132486544451524,Gipuzkoa
Suna Gozotegia,,Getaria,Costa Vasca,Getaria,https://turismoa.euskadi.eus/es/pastelerias-y-confiterias/getariano-gozotegia/webtur00-content/es/,,,1,Denominación de Origen,,-2.2055729644180246,43.30292239611048,Gipuzkoa
Goñi Ardoteka - San Sebastian Wine Spot,,,San Sebastián,Donostia / San Sebastián,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/goni-ardoteka-san-sebastian-wine-spot/webtur00-content/es/,info@ardoteka.com,http://www.ardoteka.com/,1,Postres,,-1.9832791331352837,43.32458153750628,Gipuzkoa
Rafa Gorrotxategi,,,Montes y Valles vascos,Tolosa,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/rafa-gorrotxategi/webtur00-content/es/,info@rafagorrotxategi.eus,https://rafagorrotxategi.eus/museum/,1,Denominación de Origen,,-2.0834941,43.1262137,Gipuzkoa
Quesería Basterra,,Goiuri-Ondona,Montes y Valles vascos,Urkabustaiz,https://turismoa.euskadi.eus/es/tiendas-gourmet-enotecas/queseria-basterra/webtur00-content/es/,urjauzikogazta@gmail.com,,1,Agricultura Ecológica,,-2.917907600000035,42.976645,Araba/Álava
